Willamette Valley Vineyards PE Ratio Historical Data,Willamette Valley Vineyards PE Ratio Historical Data,Willamette Valley Vineyards PE Ratio Historical Data,Willamette Valley Vineyards PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.05,,0.0
2024-09-30,3.48,$-0.61,0.0
2024-06-30,3.93,$-0.61,0.0
2024-03-31,5.24,$-0.62,0.0
2023-12-31,5.36,$-0.65,0.0
2023-09-30,5.84,$-0.57,0.0
2023-06-30,5.7,$-0.69,0.0
2023-03-31,6.05,$-0.65,0.0
2022-12-31,5.97,$-0.51,0.0
2022-09-30,6.17,$-0.36,0.0
2022-06-30,6.27,$-0.05,0.0
2022-03-31,9.05,$0.13,69.62
2021-12-31,8.66,$0.19,45.58
2021-09-30,12.71,$0.26,48.88
2021-06-30,13.68,$0.37,36.97
2021-03-31,9.05,$0.30,30.17
2020-12-31,6.37,$0.46,13.85
2020-09-30,6.15,$0.43,14.3
2020-06-30,6.04,$0.42,14.39
2020-03-31,4.85,$0.37,13.11
2019-12-31,6.93,$0.29,23.9
2019-09-30,6.92,$0.34,20.35
2019-06-30,6.92,$0.30,23.07
2019-03-31,7.21,$0.39,18.49
2018-12-31,6.89,$0.38,18.13
2018-09-30,7.91,$0.46,17.2
2018-06-30,8.55,$0.47,18.19
2018-03-31,7.94,$0.45,17.64
2017-12-31,8.25,$0.47,17.56
2017-09-30,7.91,$0.40,19.78
2017-06-30,8.09,$0.40,20.23
2017-03-31,8.0,$0.38,21.05
2016-12-31,8.01,$0.42,19.07
2016-09-30,8.0,$0.35,22.85
2016-06-30,8.39,$0.35,23.97
2016-03-31,6.92,$0.38,18.21
2015-12-31,7.08,$0.36,19.67
2015-09-30,6.67,$0.43,15.52
2015-06-30,6.92,$0.46,15.04
2015-03-31,5.93,$0.47,12.62
2014-12-31,5.8,$0.45,12.89
2014-09-30,5.51,$0.34,16.21
2014-06-30,5.91,$0.27,21.89
2014-03-31,6.49,$0.27,24.04
2013-12-31,6.29,$0.29,21.69
2013-09-30,5.74,$0.32,17.93
2013-06-30,4.47,$0.33,13.55
2013-03-31,4.6,$0.27,17.05
2012-12-31,3.69,$0.25,14.76
2012-09-30,3.92,$0.21,18.65
2012-06-30,3.52,$0.23,15.29
2012-03-31,3.15,$0.22,14.31
2011-12-31,3.0,$0.19,15.79
2011-09-30,3.09,$0.19,16.26
2011-06-30,3.09,$0.14,22.07
2011-03-31,3.2,$0.13,24.61
2010-12-31,3.51,$0.08,43.88
2010-09-30,3.46,$0.03,115.33
2010-06-30,3.5,$0.05,70.0
2010-03-31,3.54,$0.07,50.57
2009-12-31,3.5,$0.14,25.0
