Vistra PE Ratio Historical Data,Vistra PE Ratio Historical Data,Vistra PE Ratio Historical Data,Vistra PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,131.9,,18.71
2024-12-31,137.87,$7.05,19.56
2024-09-30,118.54,$5.36,22.12
2024-06-30,85.81,$1.36,63.09
2024-03-31,69.34,$1.63,42.54
2023-12-31,38.22,$3.58,10.68
2023-09-30,32.73,$3.40,9.63
2023-06-30,25.74,$3.66,7.03
2023-03-31,23.34,$-0.78,0.0
2022-12-31,22.39,$-3.21,0.0
2022-09-30,20.1,$-1.03,0.0
2022-06-30,21.71,$-2.53,0.0
2022-03-31,21.92,$0.81,27.06
2021-12-31,21.3,$-2.68,0.0
2021-09-30,15.88,$-4.18,0.0
2021-06-30,17.09,$-3.29,0.0
2021-03-31,16.16,$-3.02,0.0
2020-12-31,17.82,$1.30,13.71
2020-09-30,16.97,$1.84,9.22
2020-06-30,16.63,$1.17,14.22
2020-03-31,14.16,$1.53,9.26
2019-12-31,20.2,$1.86,10.86
2019-09-30,23.36,$1.00,23.36
2019-06-30,19.69,$1.38,14.27
2019-03-31,22.53,$0.88,25.6
2018-12-31,19.71,$-0.27,0.0
2018-09-30,21.43,$-1.25,0.0
2018-06-30,20.37,$-1.22,0.0
2018-03-31,17.94,$-1.48,0.0
