California BanCorp PE Ratio Historical Data,California BanCorp PE Ratio Historical Data,California BanCorp PE Ratio Historical Data,California BanCorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.9,,0.0
2024-09-30,14.79,$-0.08,0.0
2024-06-30,13.47,$0.86,15.66
2024-03-31,14.91,$1.21,12.32
