Prime Medicine PE Ratio Historical Data,Prime Medicine PE Ratio Historical Data,Prime Medicine PE Ratio Historical Data,Prime Medicine PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.01,,0.0
2024-12-31,2.92,$-1.65,0.0
2024-09-30,3.87,$-2.05,0.0
2024-06-30,5.14,$-2.16,0.0
2024-03-31,7.0,$-2.17,0.0
2023-12-31,8.86,$-2.17,0.0
2023-09-30,9.54,$-2.02,0.0
