Sachem Capital PE Ratio Historical Data,Sachem Capital PE Ratio Historical Data,Sachem Capital PE Ratio Historical Data,Sachem Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.13,,0.0
2024-09-30,2.44,$-0.19,0.0
2024-06-30,2.43,$0.06,40.51
2024-03-31,4.05,$0.26,15.58
2023-12-31,3.4,$0.28,12.13
2023-09-30,3.01,$0.46,6.55
2023-06-30,2.87,$0.45,6.38
2023-03-31,2.95,$0.46,6.42
2022-12-31,2.62,$0.46,5.7
2022-09-30,2.46,$0.45,5.46
2022-06-30,2.92,$0.46,6.35
2022-03-31,3.58,$0.44,8.14
2021-12-31,4.08,$0.44,9.28
2021-09-30,3.66,$0.43,8.52
2021-06-30,3.51,$0.41,8.56
2021-03-31,3.35,$0.41,8.17
2020-12-31,2.67,$0.41,6.51
2020-09-30,2.41,$0.32,7.52
2020-06-30,1.73,$0.32,5.42
2020-03-31,1.02,$0.28,3.64
2019-12-31,2.48,$0.31,7.99
2019-09-30,2.63,$0.40,6.57
2019-06-30,2.89,$0.43,6.72
2019-03-31,2.39,$0.51,4.69
2018-12-31,2.07,$0.51,4.06
2018-09-30,2.06,$0.40,5.15
2018-06-30,1.97,$0.39,5.06
2018-03-31,1.62,$0.34,4.77
2017-12-31,1.79,$0.21,8.53
