Allient PE Ratio Historical Data,Allient PE Ratio Historical Data,Allient PE Ratio Historical Data,Allient PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.87,,29.84
2024-12-31,24.28,$0.80,30.35
2024-09-30,18.97,$0.88,21.55
2024-06-30,25.2,$1.16,21.73
2024-03-31,35.55,$1.51,23.54
2023-12-31,30.07,$1.48,20.32
2023-09-30,30.74,$1.45,21.2
2023-06-30,39.67,$1.45,27.36
2023-03-31,38.36,$1.32,29.06
2022-12-31,34.53,$1.09,31.68
2022-09-30,28.37,$0.97,29.24
2022-06-30,22.62,$0.97,23.32
2022-03-31,29.52,$1.00,29.52
2021-12-31,36.07,$1.67,21.6
2021-09-30,30.9,$1.75,17.69
2021-06-30,34.09,$1.62,21.09
2021-03-31,33.76,$1.50,22.55
2020-12-31,33.59,$0.95,35.48
2020-09-30,27.11,$1.01,26.93
2020-06-30,23.17,$1.05,21.99
2020-03-31,15.54,$1.17,13.32
2019-12-31,31.77,$1.21,26.33
2019-09-30,23.11,$1.15,20.16
2019-06-30,24.79,$1.17,21.24
2019-03-31,22.46,$1.15,19.48
2018-12-31,29.18,$1.13,25.74
2018-09-30,35.51,$0.95,37.25
2018-06-30,31.22,$0.83,37.76
2018-03-31,25.9,$0.69,37.72
2017-12-31,21.55,$0.58,37.15
2017-09-30,16.49,$0.63,26.31
2017-06-30,17.69,$0.59,30.16
2017-03-31,13.05,$0.63,20.61
2016-12-31,13.87,$0.59,23.38
2016-09-30,12.25,$0.59,20.88
2016-06-30,15.05,$0.71,21.1
2016-03-31,11.63,$0.73,15.86
2015-12-31,16.9,$0.79,21.3
2015-09-30,11.45,$1.10,10.41
2015-06-30,14.46,$1.09,13.22
2015-03-31,21.35,$1.06,20.14
2014-12-31,15.22,$1.01,15.12
2014-09-30,9.11,$0.75,12.1
2014-06-30,9.28,$0.51,18.08
2014-03-31,7.41,$0.38,19.51
2013-12-31,7.95,$0.29,27.09
2013-09-30,5.15,$0.28,18.4
2013-06-30,4.26,$0.32,13.31
2013-03-31,4.36,$0.40,10.91
2012-12-31,4.16,$0.42,9.9
2012-09-30,4.14,$0.55,7.58
2012-06-30,3.75,$0.57,6.62
2012-03-31,4.51,$0.54,8.36
2011-12-31,3.5,$0.54,6.48
2011-09-30,3.07,$0.41,7.54
2011-06-30,3.36,$0.38,8.84
2011-03-31,4.34,$0.33,13.3
2010-12-31,4.24,$0.29,14.45
2010-09-30,2.6,$0.23,11.47
2010-06-30,2.77,$0.16,17.33
2010-03-31,2.22,$-0.97,0.0
2009-12-31,1.54,$-1.09,0.0
