LivePerson PE Ratio Historical Data,LivePerson PE Ratio Historical Data,LivePerson PE Ratio Historical Data,LivePerson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.91,,0.0
2024-12-31,1.52,$-2.32,0.0
2024-09-30,1.28,$-1.53,0.0
2024-06-30,0.58,$-1.89,0.0
2024-03-31,1.0,$-1.44,0.0
2023-12-31,3.79,$-1.27,0.0
2023-09-30,3.89,$-1.34,0.0
2023-06-30,4.52,$-1.22,0.0
2023-03-31,4.41,$-2.32,0.0
2022-12-31,10.14,$-2.95,0.0
2022-09-30,9.42,$-3.10,0.0
2022-06-30,14.14,$-3.01,0.0
2022-03-31,24.42,$-2.34,0.0
2021-12-31,35.72,$-1.79,0.0
2021-09-30,58.95,$-1.29,0.0
2021-06-30,63.24,$-1.40,0.0
2021-03-31,52.74,$-1.37,0.0
2020-12-31,62.23,$-1.63,0.0
2020-09-30,51.99,$-1.86,0.0
2020-06-30,41.43,$-1.69,0.0
2020-03-31,22.75,$-1.79,0.0
2019-12-31,37.0,$-1.53,0.0
2019-09-30,35.7,$-1.21,0.0
2019-06-30,28.04,$-0.92,0.0
2019-03-31,29.02,$-0.68,0.0
2018-12-31,18.86,$-0.43,0.0
2018-09-30,25.95,$-0.38,0.0
2018-06-30,21.1,$-0.28,0.0
2018-03-31,16.35,$-0.27,0.0
2017-12-31,11.5,$-0.31,0.0
2017-09-30,13.55,$-0.42,0.0
2017-06-30,11.0,$-0.50,0.0
2017-03-31,6.85,$-0.51,0.0
2016-12-31,7.55,$-0.46,0.0
2016-09-30,8.41,$-0.62,0.0
2016-06-30,6.34,$-0.49,0.0
2016-03-31,5.85,$-0.44,0.0
2015-12-31,6.75,$-0.43,0.0
2015-09-30,7.56,$-0.18,0.0
2015-06-30,9.81,$-0.23,0.0
2015-03-31,10.24,$-0.16,0.0
2014-12-31,14.1,$-0.13,0.0
2014-09-30,12.59,$-0.06,0.0
2014-06-30,10.15,$-0.05,0.0
2014-03-31,12.07,$-0.06,0.0
2013-12-31,14.82,$-0.05,0.0
2013-09-30,9.43,$-0.01,0.0
2013-06-30,8.96,$0.03,298.5
2013-03-31,13.58,$0.06,226.33
2012-12-31,13.14,$0.12,109.5
2012-09-30,18.11,$0.16,113.19
2012-06-30,19.06,$0.18,105.89
2012-03-31,16.77,$0.22,76.23
2011-12-31,12.55,$0.22,57.05
2011-09-30,9.95,$0.20,49.75
2011-06-30,14.14,$0.20,70.7
2011-03-31,12.64,$0.19,66.53
2010-12-31,11.3,$0.17,66.47
2010-09-30,8.4,$0.18,46.67
2010-06-30,6.86,$0.18,38.11
2010-03-31,7.67,$0.17,45.12
2009-12-31,6.97,$0.16,43.56
