Simmons First National PE Ratio Historical Data,Simmons First National PE Ratio Historical Data,Simmons First National PE Ratio Historical Data,Simmons First National PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.5,,16.94
2024-12-31,22.18,$1.21,18.33
2024-09-30,21.35,$1.02,20.93
2024-06-30,17.25,$1.19,14.5
2024-03-31,18.85,$1.33,14.18
2023-12-31,19.0,$1.38,13.77
2023-09-30,16.08,$1.84,8.74
2023-06-30,16.17,$2.10,7.7
2023-03-31,16.21,$1.85,8.76
2022-12-31,19.8,$2.07,9.56
2022-09-30,19.8,$1.84,10.76
2022-06-30,19.16,$1.95,9.83
2022-03-31,23.43,$2.43,9.64
2021-12-31,26.26,$2.47,10.63
2021-09-30,26.08,$2.54,10.27
2021-06-30,25.72,$2.40,10.72
2021-03-31,25.85,$2.25,11.49
2020-12-31,18.71,$2.31,8.1
2020-09-30,13.63,$2.31,5.9
2020-06-30,14.56,$2.55,5.71
2020-03-31,15.49,$2.59,5.98
2019-12-31,22.34,$2.42,9.23
2019-09-30,20.63,$2.53,8.16
2019-06-30,19.16,$2.28,8.4
2019-03-31,20.02,$2.28,8.78
2018-12-31,19.61,$2.32,8.45
2018-09-30,23.8,$1.94,12.3
2018-06-30,24.05,$1.79,13.43
2018-03-31,22.77,$1.57,14.5
2017-12-31,22.74,$1.37,16.6
2017-09-30,22.95,$1.58,14.53
2017-06-30,20.88,$1.52,13.78
2017-03-31,21.66,$1.53,14.16
2016-12-31,24.3,$1.57,15.53
2016-09-30,19.44,$1.53,12.71
2016-06-30,17.91,$1.51,11.86
2016-03-31,17.39,$1.49,11.67
2015-12-31,19.71,$1.30,15.16
2015-09-30,18.31,$1.27,14.42
2015-06-30,17.74,$1.17,15.17
2015-03-31,17.19,$1.12,15.42
2014-12-31,15.29,$1.06,14.49
2014-09-30,14.41,$0.81,17.79
2014-06-30,14.66,$0.77,19.16
2014-03-31,13.8,$0.67,20.75
2013-12-31,13.67,$0.71,19.26
2013-09-30,11.37,$0.84,13.62
2013-06-30,9.47,$0.83,11.48
2013-03-31,9.12,$0.82,11.18
2012-12-31,9.05,$0.82,11.04
2012-09-30,8.62,$0.77,11.27
2012-06-30,8.16,$0.77,10.6
2012-03-31,8.99,$0.78,11.6
2011-12-31,9.39,$0.74,12.78
2011-09-30,7.44,$1.03,7.23
2011-06-30,8.73,$1.04,8.39
2011-03-31,9.14,$1.08,8.5
2010-12-31,9.55,$1.08,8.88
2010-09-30,9.41,$0.82,11.55
2010-06-30,8.68,$0.87,10.04
2010-03-31,9.05,$0.83,10.91
2009-12-31,9.06,$0.87,10.42
