Latham PE Ratio Historical Data,Latham PE Ratio Historical Data,Latham PE Ratio Historical Data,Latham PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.28,,0.0
2024-12-31,6.96,$-0.16,0.0
2024-09-30,6.8,$0.09,75.56
2024-06-30,3.03,$0.09,33.67
2024-03-31,3.96,$0.03,132.0
2023-12-31,2.63,$-0.03,0.0
2023-09-30,2.8,$-0.20,0.0
2023-06-30,3.71,$-0.15,0.0
2023-03-31,2.86,$-0.16,0.0
2022-12-31,3.22,$-0.05,0.0
2022-09-30,3.59,$0.07,51.29
2022-06-30,6.93,$-0.13,0.0
2022-03-31,13.24,$-0.66,0.0
