ALX Oncology Holdings PE Ratio Historical Data,ALX Oncology Holdings PE Ratio Historical Data,ALX Oncology Holdings PE Ratio Historical Data,ALX Oncology Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.75,,0.0
2024-12-31,1.67,$-2.60,0.0
2024-09-30,1.82,$-2.98,0.0
2024-06-30,6.03,$-3.64,0.0
2024-03-31,11.15,$-3.72,0.0
2023-12-31,14.89,$-3.75,0.0
2023-09-30,4.8,$-3.57,0.0
2023-06-30,7.51,$-3.20,0.0
2023-03-31,4.52,$-3.17,0.0
2022-12-31,11.27,$-3.03,0.0
2022-09-30,9.57,$-2.98,0.0
2022-06-30,8.09,$-2.72,0.0
2022-03-31,16.9,$-2.31,0.0
2021-12-31,21.49,$-2.06,0.0
2021-09-30,73.86,$-1.86,0.0
2021-06-30,54.68,$-1.61,0.0
