Canopy Growth PE Ratio Historical Data,Canopy Growth PE Ratio Historical Data,Canopy Growth PE Ratio Historical Data,Canopy Growth PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.13,,0.0
2024-12-31,2.74,$-3.80,0.0
2024-09-30,4.82,$-4.93,0.0
2024-06-30,6.45,$-7.05,0.0
2024-03-31,8.63,$-6.38,0.0
2023-12-31,5.11,$-15.12,0.0
2023-09-30,7.83,$-17.20,0.0
2023-06-30,3.88,$-17.60,0.0
2023-03-31,17.5,$-58.10,0.0
2022-12-31,23.1,$-60.10,0.0
2022-09-30,27.3,$-58.30,0.0
2022-06-30,28.5,$-54.90,0.0
2022-03-31,75.8,$-7.10,0.0
2021-12-31,87.3,$-10.20,0.0
2021-09-30,138.6,$-26.60,0.0
2021-06-30,241.8,$-27.10,0.0
2021-03-31,320.3,$-36.10,0.0
2020-12-31,246.4,$-49.30,0.0
2020-09-30,143.2,$-33.40,0.0
2020-06-30,161.6,$-40.90,0.0
2020-03-31,144.2,$-66.40,0.0
2019-12-31,210.9,$-46.00,0.0
2019-09-30,229.3,$-46.20,0.0
2019-06-30,403.1,$-49.60,0.0
2019-03-31,433.7,$-25.00,0.0
