Booking Holdings PE Ratio Historical Data,Booking Holdings PE Ratio Historical Data,Booking Holdings PE Ratio Historical Data,Booking Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4589.03,,26.52
2024-12-31,4968.42,$173.04,28.71
2024-09-30,4205.18,$147.37,28.53
2024-06-30,3945.72,$142.83,27.63
2024-03-31,3605.15,$133.34,27.04
2023-12-31,3516.15,$117.97,29.81
2023-09-30,3056.94,$143.61,21.29
2023-06-30,2676.68,$115.79,23.12
2023-03-31,2629.18,$101.97,25.78
2022-12-31,1997.63,$77.87,25.65
2022-09-30,1628.82,$60.89,26.75
2022-06-30,1733.67,$37.51,46.22
2022-03-31,2327.88,$12.36,188.34
2021-12-31,2378.22,$28.12,84.57
2021-09-30,2353.08,$9.16,256.89
2021-06-30,2168.93,$10.05,215.81
2021-03-31,2309.44,$17.10,135.05
2020-12-31,2207.76,$1.43,1543.89
2020-09-30,1695.7,$33.20,51.08
2020-06-30,1578.39,$59.25,26.64
2020-03-31,1333.54,$78.72,16.94
2019-12-31,2035.74,$112.58,18.08
2019-09-30,1945.42,$98.69,19.71
2019-06-30,1858.29,$90.17,20.61
2019-03-31,1729.63,$87.86,19.69
2018-12-31,1707.33,$83.35,20.48
2018-09-30,1966.62,$58.08,33.86
2018-06-30,2009.34,$55.49,36.21
2018-03-31,2062.17,$49.75,41.45
2017-12-31,1722.52,$46.52,37.03
2017-09-30,1814.79,$71.40,25.42
2017-06-30,1854.14,$47.10,39.37
2017-03-31,1764.38,$44.31,39.82
2016-12-31,1453.22,$42.67,34.06
2016-09-30,1458.6,$39.20,37.21
2016-06-30,1237.48,$52.48,23.58
2016-03-31,1277.67,$50.82,25.14
2015-12-31,1263.78,$49.71,25.42
2015-09-30,1226.03,$48.27,25.4
2015-06-30,1141.29,$44.89,25.42
2015-03-31,1153.95,$45.84,25.17
2014-12-31,1130.22,$45.73,24.72
2014-09-30,1148.43,$44.31,25.92
2014-06-30,1192.46,$40.00,29.81
2014-03-31,1181.45,$37.50,31.51
2013-12-31,1152.22,$36.01,32.0
2013-09-30,1002.1,$34.50,29.05
2013-06-30,819.43,$30.44,26.92
2013-03-31,682.14,$28.93,23.58
2012-12-31,614.96,$27.71,22.19
2012-09-30,613.65,$26.49,23.17
2012-06-30,658.7,$24.00,27.45
2012-03-31,711.22,$22.14,32.12
2011-12-31,463.61,$20.65,22.45
2011-09-30,445.52,$18.90,23.57
2011-06-30,507.45,$14.14,35.89
2011-03-31,502.0,$11.38,44.11
2010-12-31,396.05,$10.39,38.12
2010-09-30,345.29,$9.28,37.21
2010-06-30,174.99,$11.29,15.5
2010-03-31,252.77,$10.41,24.28
2009-12-31,216.5,$9.88,21.91
