Corvus Pharmaceuticals PE Ratio Historical Data,Corvus Pharmaceuticals PE Ratio Historical Data,Corvus Pharmaceuticals PE Ratio Historical Data,Corvus Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.21,,0.0
2024-09-30,5.28,$-0.93,0.0
2024-06-30,1.82,$-0.45,0.0
2024-03-31,1.78,$-0.52,0.0
2023-12-31,1.76,$-0.57,0.0
2023-09-30,1.46,$-0.64,0.0
2023-06-30,2.29,$-0.84,0.0
2023-03-31,0.91,$-0.88,0.0
2022-12-31,0.85,$-0.89,0.0
2022-09-30,0.82,$-0.88,0.0
2022-06-30,0.99,$-0.80,0.0
2022-03-31,1.64,$-0.90,0.0
2021-12-31,2.41,$-1.06,0.0
2021-09-30,4.84,$0.06,80.67
2021-06-30,2.67,$-0.03,0.0
2021-03-31,3.08,$-0.11,0.0
2020-12-31,3.56,$-0.21,0.0
2020-09-30,4.01,$-1.51,0.0
2020-06-30,2.72,$-1.55,0.0
2020-03-31,2.11,$-1.63,0.0
2019-12-31,5.44,$-1.59,0.0
2019-09-30,3.01,$-1.57,0.0
2019-06-30,3.74,$-1.56,0.0
2019-03-31,4.02,$-1.52,0.0
2018-12-31,3.67,$-1.75,0.0
2018-09-30,8.58,$-1.97,0.0
2018-06-30,10.98,$-2.23,0.0
2018-03-31,11.53,$-2.56,0.0
2017-12-31,10.36,$-2.72,0.0
2017-09-30,15.94,$-2.69,0.0
2017-06-30,12.1,$-2.58,0.0
2017-03-31,20.77,$-2.28,0.0
2016-12-31,14.3,$-6.88,0.0
