Rollins PE Ratio Historical Data,Rollins PE Ratio Historical Data,Rollins PE Ratio Historical Data,Rollins PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,51.68,,53.83
2024-12-31,46.35,$0.96,48.28
2024-09-30,50.42,$0.96,52.52
2024-06-30,48.48,$0.94,51.58
2024-03-31,45.83,$0.89,51.49
2023-12-31,43.1,$0.88,48.97
2023-09-30,36.7,$0.83,44.21
2023-06-30,41.97,$0.79,53.12
2023-03-31,36.66,$0.77,47.61
2022-12-31,35.56,$0.74,48.06
2022-09-30,33.65,$0.70,48.07
2022-06-30,33.79,$0.67,50.43
2022-03-31,33.81,$0.67,50.47
2021-12-31,32.9,$0.71,46.34
2021-09-30,33.8,$0.71,47.61
2021-06-30,32.65,$0.68,48.02
2021-03-31,32.79,$0.63,51.78
2020-12-31,37.14,$0.53,70.08
2020-09-30,34.22,$0.51,67.53
2020-06-30,26.73,$0.43,61.67
2020-03-31,22.75,$0.41,55.02
2019-12-31,20.81,$0.42,49.54
2019-09-30,21.29,$0.42,50.69
2019-06-30,22.35,$0.47,47.43
2019-03-31,25.85,$0.47,54.88
2018-12-31,22.36,$0.48,47.02
2018-09-30,24.95,$0.44,57.28
2018-06-30,21.56,$0.40,53.31
2018-03-31,20.87,$0.38,54.58
2017-12-31,18.97,$0.36,52.04
2017-09-30,18.72,$0.37,50.13
2017-06-30,16.47,$0.37,44.66
2017-03-31,14.98,$0.36,42.13
2016-12-31,13.59,$0.34,39.69
2016-09-30,11.7,$0.33,35.1
2016-06-30,11.65,$0.32,35.91
2016-03-31,10.76,$0.32,33.62
2015-12-31,10.23,$0.32,32.44
2015-09-30,10.55,$0.31,33.91
2015-06-30,11.17,$0.30,37.14
2015-03-31,9.65,$0.29,33.23
2014-12-31,8.58,$0.28,30.48
2014-09-30,7.54,$0.28,27.36
2014-06-30,7.7,$0.27,28.87
2014-03-31,7.73,$0.26,30.0
2013-12-31,7.72,$0.25,30.63
2013-09-30,6.73,$0.24,27.7
2013-06-30,6.55,$0.23,27.99
2013-03-31,6.19,$0.23,27.13
2012-12-31,5.54,$0.23,24.27
2012-09-30,5.84,$0.23,25.96
2012-06-30,5.57,$0.22,25.42
2012-03-31,5.28,$0.21,24.75
2011-12-31,5.49,$0.20,26.87
2011-09-30,4.61,$0.20,23.23
2011-06-30,5.0,$0.19,26.24
2011-03-31,4.96,$0.18,27.02
2010-12-31,4.81,$0.18,26.62
2010-09-30,3.79,$0.18,20.82
2010-06-30,3.34,$0.18,18.97
2010-03-31,3.48,$0.17,20.25
2009-12-31,3.08,$0.17,18.35
