NFT PE Ratio Historical Data,NFT PE Ratio Historical Data,NFT PE Ratio Historical Data,NFT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.19,,0.23
2024-06-30,5.01,$9.50,0.53
2023-12-31,0.19,$9.50,0.02
2023-06-30,0.35,$10.00,0.04
2023-03-31,0.63,$-6.50,0.0
2022-12-31,0.55,$-9.00,0.0
2022-09-30,1.04,$-9.00,0.0
2022-06-30,1.66,$-17.50,0.0
2022-03-31,2.25,$-41.50,0.0
2021-12-31,4.05,$-41.50,0.0
2021-09-30,7.58,$-40.50,0.0
2021-06-30,16.63,$-32.00,0.0
2021-03-31,34.0,$-1.50,0.0
2020-12-31,1.48,$-3.00,0.0
2020-09-30,0.88,$-9.00,0.0
2020-06-30,1.04,$-14.50,0.0
2020-03-31,1.2,$-19.00,0.0
2019-12-31,0.5,$-18.00,0.0
2019-09-30,0.53,$-31.00,0.0
2019-06-30,0.67,$-39.00,0.0
2019-03-31,0.81,$-39.00,0.0
2018-12-31,0.68,$-34.00,0.0
2018-09-30,0.88,$-25.50,0.0
2018-06-30,1.67,$-12.50,0.0
2018-03-31,2.1,$-6.50,0.0
2017-12-31,2.51,$-4.50,0.0
