D.R Horton PE Ratio Historical Data,D.R Horton PE Ratio Historical Data,D.R Horton PE Ratio Historical Data,D.R Horton PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,131.13,,9.27
2024-12-31,139.82,$14.15,9.88
2024-09-30,190.3,$14.36,13.25
2024-06-30,140.35,$14.89,9.43
2024-03-31,163.53,$14.69,11.13
2023-12-31,150.72,$13.90,10.84
2023-09-30,106.33,$13.84,7.68
2023-06-30,120.16,$14.06,8.55
2023-03-31,96.24,$14.83,6.49
2022-12-31,87.6,$16.13,5.43
2022-09-30,65.99,$16.54,3.99
2022-06-30,64.66,$15.57,4.15
2022-03-31,72.56,$13.96,5.2
2021-12-31,105.33,$12.46,8.45
2021-09-30,81.37,$11.43,7.12
2021-06-30,87.39,$9.97,8.77
2021-03-31,86.02,$8.63,9.97
2020-12-31,66.35,$7.40,8.97
2020-09-30,72.61,$6.42,11.31
2020-06-30,53.1,$5.53,9.6
2020-03-31,32.45,$5.07,6.4
2019-12-31,50.19,$4.70,10.68
2019-09-30,50.0,$4.30,11.63
2019-06-30,40.78,$4.17,9.78
2019-03-31,38.99,$4.09,9.53
2018-12-31,32.53,$4.07,7.99
2018-09-30,39.42,$3.80,10.37
2018-06-30,38.21,$3.40,11.24
2018-03-31,40.74,$2.98,13.67
2017-12-31,47.33,$2.67,17.73
2017-09-30,36.91,$2.73,13.52
2017-06-30,31.87,$2.66,11.98
2017-03-31,30.62,$2.56,11.96
2016-12-31,25.03,$2.48,10.09
2016-09-30,27.57,$2.35,11.73
2016-06-30,28.67,$2.24,12.8
2016-03-31,27.45,$2.18,12.59
2015-12-31,29.0,$2.06,14.08
2015-09-30,26.51,$2.03,13.06
2015-06-30,24.65,$1.84,13.4
2015-03-31,25.6,$1.56,16.41
2014-12-31,22.68,$1.54,14.73
2014-09-30,18.36,$1.51,12.16
2014-06-30,21.92,$1.46,15.01
2014-03-31,19.28,$1.56,12.36
2013-12-31,19.84,$1.50,13.23
2013-09-30,17.27,$1.34,12.89
2013-06-30,18.91,$1.24,15.25
2013-03-31,21.6,$3.04,7.1
2012-12-31,17.58,$2.85,6.17
2012-09-30,18.15,$2.74,6.63
2012-06-30,16.14,$2.55,6.33
2012-03-31,13.29,$0.42,31.65
2011-12-31,11.02,$0.38,29.01
2011-09-30,7.88,$0.23,34.25
2011-06-30,10.0,$0.09,111.08
2011-03-31,10.08,$0.16,62.99
2010-12-31,10.29,$0.11,93.54
2010-09-30,9.56,$0.71,13.46
2010-06-30,8.42,$0.01,841.69
2010-03-31,10.76,$-0.60,0.0
2009-12-31,9.26,$-0.98,0.0
