Trane Technologies PE Ratio Historical Data,Trane Technologies PE Ratio Historical Data,Trane Technologies PE Ratio Historical Data,Trane Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,349.33,,31.05
2024-12-31,369.35,$11.25,32.83
2024-09-30,388.73,$10.78,36.06
2024-06-30,328.12,$10.11,32.46
2024-03-31,299.46,$9.36,31.99
2023-12-31,243.3,$8.79,27.68
2023-09-30,202.41,$8.49,23.84
2023-06-30,190.1,$8.11,23.44
2023-03-31,182.04,$7.72,23.58
2022-12-31,166.32,$7.49,22.21
2022-09-30,143.28,$6.92,20.71
2022-06-30,128.5,$6.26,20.53
2022-03-31,150.37,$6.01,25.02
2021-12-31,198.94,$5.88,33.83
2021-09-30,170.01,$5.57,30.52
2021-06-30,181.32,$5.53,32.79
2021-03-31,162.51,$4.61,35.25
2020-12-31,141.94,$3.52,40.32
