Crawford PE Ratio Historical Data,Crawford PE Ratio Historical Data,Crawford PE Ratio Historical Data,Crawford PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.12,,20.98
2024-12-31,11.63,$0.53,21.94
2024-09-30,11.11,$0.40,27.78
2024-06-30,8.01,$0.46,17.41
2024-03-31,9.07,$0.46,19.72
2023-12-31,13.08,$0.62,21.1
2023-09-30,8.57,$0.35,24.49
2023-06-30,9.39,$-0.21,0.0
2023-03-31,7.67,$-0.26,0.0
2022-12-31,5.31,$-0.38,0.0
2022-09-30,5.25,$-0.06,0.0
2022-06-30,7.05,$0.46,15.33
2022-03-31,7.29,$0.56,13.02
2021-12-31,7.49,$0.57,13.14
2021-09-30,8.96,$0.72,12.44
2021-06-30,8.6,$0.97,8.87
2021-03-31,9.63,$0.86,11.2
2020-12-31,7.11,$0.52,13.67
2020-09-30,6.32,$0.19,33.25
2020-06-30,6.86,$-0.08,0.0
2020-03-31,6.2,$-0.15,0.0
2019-12-31,9.79,$0.18,54.38
2019-09-30,9.68,$0.53,18.27
2019-06-30,8.89,$0.47,18.91
2019-03-31,8.67,$0.37,23.42
2018-12-31,8.5,$0.41,20.73
2018-09-30,8.65,$0.16,54.07
2018-06-30,8.08,$0.23,35.12
2018-03-31,7.63,$0.46,16.59
2017-12-31,8.88,$0.44,20.19
2017-09-30,10.99,$0.62,17.72
2017-06-30,8.5,$0.60,14.16
2017-03-31,9.12,$0.57,15.99
2016-12-31,11.36,$0.59,19.26
2016-09-30,10.23,$-0.49,0.0
2016-06-30,7.62,$-0.70,0.0
2016-03-31,5.78,$-0.78,0.0
2015-12-31,4.69,$-0.88,0.0
2015-09-30,4.91,$0.14,35.04
2015-06-30,7.32,$0.36,20.32
2015-03-31,7.45,$0.49,15.2
2014-12-31,8.81,$0.56,15.74
2014-09-30,7.03,$0.69,10.19
2014-06-30,8.55,$0.74,11.55
2014-03-31,9.21,$0.85,10.84
2013-12-31,7.77,$0.91,8.54
2013-09-30,8.12,$1.03,7.89
2013-06-30,4.68,$1.12,4.18
2013-03-31,6.3,$1.00,6.3
2012-12-31,6.59,$0.95,6.94
2012-09-30,4.1,$0.71,5.77
2012-06-30,3.32,$0.66,5.03
2012-03-31,3.96,$0.73,5.42
2011-12-31,4.95,$0.84,5.9
2011-09-30,4.3,$1.04,4.13
2011-06-30,5.65,$1.00,5.65
2011-03-31,3.79,$0.70,5.42
2010-12-31,2.7,$0.53,5.09
2010-09-30,1.93,$0.42,4.59
2010-06-30,2.51,$-0.58,0.0
2010-03-31,3.23,$-2.23,0.0
2009-12-31,3.12,$-2.23,0.0
