Silvercorp Metals PE Ratio Historical Data,Silvercorp Metals PE Ratio Historical Data,Silvercorp Metals PE Ratio Historical Data,Silvercorp Metals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.13,,11.47
2024-12-31,3.0,$0.36,8.33
2024-09-30,4.35,$0.30,14.51
2024-06-30,3.35,$0.27,12.4
2024-03-31,3.24,$0.20,16.18
2023-12-31,2.61,$0.17,15.36
2023-09-30,2.32,$0.18,12.89
2023-06-30,2.78,$0.11,25.31
2023-03-31,3.76,$0.12,31.31
2022-12-31,2.91,$0.14,20.79
2022-09-30,2.28,$0.10,22.81
2022-06-30,2.43,$0.16,15.18
2022-03-31,3.53,$0.17,20.76
2021-12-31,3.67,$0.19,19.29
2021-09-30,3.7,$0.21,17.64
2021-06-30,5.34,$0.25,21.35
2021-03-31,4.76,$0.27,17.64
2020-12-31,6.49,$0.25,25.96
2020-09-30,7.01,$0.24,29.2
2020-06-30,5.2,$0.22,23.63
2020-03-31,3.16,$0.20,15.79
2019-12-31,5.47,$0.25,21.9
2019-09-30,3.75,$0.26,14.41
2019-06-30,2.37,$0.24,9.87
2019-03-31,2.44,$0.23,10.62
2018-12-31,2.01,$0.23,8.75
2018-09-30,2.35,$0.25,9.4
2018-06-30,2.54,$0.27,9.41
2018-03-31,2.55,$0.27,9.44
2017-12-31,2.48,$0.28,8.86
2017-09-30,2.55,$0.29,8.79
2017-06-30,3.03,$0.29,10.44
2017-03-31,0.61,$0.26,2.35
2016-12-31,0.61,$0.17,3.6
2016-09-30,0.61,$0.11,5.56
2016-06-30,0.61,$0.05,12.23
2016-03-31,0.61,$0.03,20.38
2015-12-31,0.61,$-0.65,0.0
2015-09-30,0.61,$-0.64,0.0
2015-06-30,1.02,$-0.61,0.0
2015-03-31,1.11,$-0.60,0.0
2014-12-31,1.21,$0.06,20.24
2014-09-30,1.48,$0.04,37.0
2014-06-30,1.97,$-0.25,0.0
2014-03-31,1.81,$-0.24,0.0
2013-12-31,2.12,$-0.17,0.0
2013-09-30,3.02,$-0.15,0.0
2013-06-30,2.61,$0.16,16.29
2013-03-31,3.63,$0.17,21.36
2012-12-31,4.73,$0.19,24.9
2012-09-30,5.99,$0.28,21.38
2012-06-30,5.11,$0.33,15.48
2012-03-31,6.37,$0.44,14.47
2011-12-31,5.91,$0.45,13.14
2011-09-30,7.31,$0.51,14.33
2011-06-30,8.67,$0.48,18.06
2011-03-31,13.46,$0.42,32.05
2010-12-31,11.86,$0.41,28.91
2010-09-30,7.65,$0.31,24.68
2010-06-30,6.12,$0.28,21.85
2010-03-31,6.36,$0.24,26.49
2009-12-31,6.1,$0.19,32.1
