Home Bancorp PE Ratio Historical Data,Home Bancorp PE Ratio Historical Data,Home Bancorp PE Ratio Historical Data,Home Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,45.9,,13.74
2024-12-31,46.21,$3.34,13.84
2024-09-30,44.34,$4.51,9.83
2024-06-30,39.56,$4.55,8.69
2024-03-31,37.62,$4.74,7.94
2023-12-31,40.98,$4.99,8.21
2023-09-30,30.86,$5.14,6.0
2023-06-30,31.94,$5.20,6.14
2023-03-31,31.51,$5.02,6.28
2022-12-31,37.95,$4.16,9.12
2022-09-30,36.76,$4.07,9.03
2022-06-30,31.99,$4.58,6.98
2022-03-31,37.99,$4.89,7.77
2021-12-31,38.44,$5.77,6.66
2021-09-30,35.63,$5.90,6.04
2021-06-30,34.89,$5.12,6.81
2021-03-31,32.8,$4.07,8.06
2020-12-31,25.29,$2.87,8.81
2020-09-30,21.64,$2.24,9.66
2020-06-30,23.75,$1.98,12.0
2020-03-31,21.49,$2.40,8.95
2019-12-31,34.28,$3.04,11.28
2019-09-30,33.91,$3.18,10.66
2019-06-30,33.27,$3.32,10.02
2019-03-31,28.75,$3.45,8.33
2018-12-31,30.43,$3.41,8.93
2018-09-30,37.19,$3.08,12.08
2018-06-30,39.66,$2.75,14.42
2018-03-31,36.63,$2.53,14.48
2017-12-31,36.54,$2.41,15.16
2017-09-30,35.24,$2.47,14.27
2017-06-30,35.7,$2.52,14.17
2017-03-31,28.23,$2.47,11.43
2016-12-31,32.17,$2.25,14.3
2016-09-30,23.23,$2.21,10.51
2016-06-30,22.71,$2.01,11.3
2016-03-31,22.09,$1.85,11.94
2015-12-31,21.33,$1.79,11.92
2015-09-30,21.11,$1.63,12.95
2015-06-30,20.59,$1.63,12.63
2015-03-31,17.3,$1.62,10.68
2014-12-31,18.59,$1.42,13.09
2014-09-30,18.35,$1.27,14.45
2014-06-30,17.8,$1.23,14.47
2014-03-31,16.96,$1.01,16.79
2013-12-31,15.23,$1.07,14.24
2013-09-30,14.59,$1.15,12.69
2013-06-30,14.95,$1.20,12.46
2013-03-31,15.04,$1.26,11.94
2012-12-31,14.75,$1.28,11.52
2012-09-30,14.54,$1.25,11.63
2012-06-30,13.84,$0.96,14.42
2012-03-31,14.09,$0.89,15.84
2011-12-31,12.53,$0.71,17.64
2011-09-30,11.7,$0.61,19.18
2011-06-30,11.95,$0.60,19.92
2011-03-31,12.38,$0.62,19.97
2010-12-31,11.17,$0.62,18.01
2010-09-30,10.81,$0.42,25.74
2010-06-30,10.43,$0.47,22.2
2010-03-31,11.31,$0.46,24.6
2009-12-31,9.85,$0.56,17.59
