Agrify PE Ratio Historical Data,Agrify PE Ratio Historical Data,Agrify PE Ratio Historical Data,Agrify PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.3,,0.0
2024-09-30,0.23,$-14.01,0.0
2024-06-30,0.45,$-15.74,0.0
2024-03-31,0.37,$-79.61,0.0
2023-12-31,1.26,$-223.99,0.0
2023-09-30,2.17,$-229.24,0.0
2023-06-30,0.19,"$-5,403.60",0.0
2023-03-31,0.17,"$-15,862.52",0.0
2022-12-31,0.33,"$-16,797.60",0.0
2022-09-30,0.44,"$-18,596.70",0.0
2022-06-30,1.97,"$-14,812.60",0.0
2022-03-31,4.63,"$-5,127.44",0.0
2021-12-31,9.2,"$-5,037.48",0.0
