Nomura Holdings Inc ADR PE Ratio Historical Data,Nomura Holdings Inc ADR PE Ratio Historical Data,Nomura Holdings Inc ADR PE Ratio Historical Data,Nomura Holdings Inc ADR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.52,,14.49
2024-12-31,5.79,$0.45,12.87
2024-09-30,5.22,$0.53,9.85
2024-03-31,6.24,$0.37,16.86
2023-12-31,4.38,$0.27,16.23
2023-09-30,3.91,$0.31,12.6
2023-06-30,3.67,$0.27,13.6
2023-03-31,3.64,$0.21,17.35
2022-12-31,3.52,$0.28,12.56
2022-09-30,3.09,$0.30,10.31
2022-06-30,3.32,$0.27,12.29
2022-03-31,3.91,$0.41,9.54
2021-12-31,3.92,$-0.15,0.0
2021-09-30,4.47,$-0.02,0.0
2021-06-30,4.54,$0.17,26.72
2021-03-31,4.78,$0.45,10.63
2020-12-31,4.64,$0.83,5.59
2020-09-30,3.99,$0.70,5.7
2020-06-30,3.72,$0.88,4.22
2020-03-31,3.57,$0.61,5.86
2019-12-31,4.28,$0.70,6.11
2019-09-30,3.52,$0.28,12.58
2019-06-30,2.85,$-0.13,0.0
2019-03-31,2.88,$-0.27,0.0
2018-12-31,2.96,$-0.21,0.0
2018-09-30,3.81,$0.26,14.65
2018-06-30,3.8,$0.42,9.04
2018-03-31,4.64,$0.55,8.43
2017-12-31,4.53,$0.64,7.08
2017-09-30,4.34,$0.60,7.23
2017-06-30,4.64,$0.63,7.36
2017-03-31,4.81,$0.61,7.89
2016-12-31,4.46,$0.41,10.88
2016-09-30,3.36,$0.31,10.85
2016-06-30,2.61,$0.25,10.43
2016-03-31,3.3,$0.28,11.78
2015-12-31,4.1,$0.52,7.88
2015-09-30,4.3,$0.55,7.81
2015-06-30,4.92,$0.54,9.11
2015-03-31,4.27,$0.44,9.71
2014-12-31,4.06,$0.41,9.9
2014-09-30,4.23,$0.42,10.07
2014-06-30,5.03,$0.43,11.7
2014-03-31,4.6,$0.55,8.37
2013-12-31,5.56,$0.65,8.55
2013-09-30,5.59,$0.59,9.47
2013-06-30,5.28,$0.50,10.55
2013-03-31,4.38,$0.34,12.87
2012-12-31,4.13,$0.12,34.38
2012-09-30,2.5,$0.12,20.85
2012-06-30,2.58,$-0.05,0.0
2012-03-31,3.08,$-0.00,0.0
2011-12-31,2.07,0,0.0
2011-09-30,2.47,$-0.02,0.0
2011-06-30,3.38,$0.14,24.16
2011-03-31,3.57,$0.09,39.63
2010-12-31,4.34,$0.10,43.43
2010-09-30,3.25,$0.09,36.08
2010-06-30,3.68,$0.22,16.72
2010-03-31,4.95,$0.23,21.5
2009-12-31,4.97,$-1.02,0.0
