Avalon GloboCare PE Ratio Historical Data,Avalon GloboCare PE Ratio Historical Data,Avalon GloboCare PE Ratio Historical Data,Avalon GloboCare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.4,,0.0
2024-09-30,3.12,$-19.96,0.0
2024-06-30,7.05,$-20.24,0.0
2024-03-31,4.8,$-21.14,0.0
2023-12-31,7.25,$-23.54,0.0
2023-09-30,12.04,$-10.05,0.0
2023-06-30,23.1,$-16.94,0.0
2023-03-31,29.7,$-16.19,0.0
2022-12-31,78.0,$-14.99,0.0
2022-09-30,96.15,$-19.49,0.0
2022-06-30,71.25,$-13.49,0.0
2022-03-31,105.11,$-14.99,0.0
2021-12-31,123.0,$-16.49,0.0
2021-09-30,133.2,$-17.99,0.0
2021-06-30,147.38,$-20.99,0.0
2021-03-31,160.5,$-22.49,0.0
2020-12-31,168.0,$-23.99,0.0
2020-09-30,187.5,$-29.99,0.0
2020-06-30,285.0,$-31.48,0.0
2020-03-31,232.5,$-34.48,0.0
2019-12-31,289.5,$-37.48,0.0
2019-09-30,280.5,$-31.48,0.0
