Atossa Genetics PE Ratio Historical Data,Atossa Genetics PE Ratio Historical Data,Atossa Genetics PE Ratio Historical Data,Atossa Genetics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.72,,0.0
2024-09-30,1.52,$-0.22,0.0
2024-06-30,1.19,$-0.21,0.0
2024-03-31,1.8,$-0.24,0.0
2023-12-31,0.88,$-0.24,0.0
2023-09-30,0.74,$-0.24,0.0
2023-06-30,1.26,$-0.25,0.0
2023-03-31,0.72,$-0.22,0.0
2022-12-31,0.53,$-0.21,0.0
2022-09-30,0.83,$-0.19,0.0
2022-06-30,1.09,$-0.17,0.0
2022-03-31,1.25,$-0.18,0.0
2021-12-31,1.6,$-0.18,0.0
2021-09-30,3.26,$-1.03,0.0
2021-06-30,6.32,$-1.33,0.0
2021-03-31,2.11,$-1.70,0.0
2020-12-31,0.95,$-1.98,0.0
2020-09-30,2.42,$-1.35,0.0
2020-06-30,3.8,$-1.37,0.0
2020-03-31,1.33,$-1.74,0.0
2019-12-31,1.57,$-2.04,0.0
2019-09-30,1.96,$-1.78,0.0
2019-06-30,2.55,$-2.06,0.0
2019-03-31,3.52,$-4.16,0.0
2018-12-31,1.02,$-4.25,0.0
2018-09-30,1.75,$-4.25,0.0
2018-06-30,2.2,$-5.77,0.0
2018-03-31,5.35,$-10.55,0.0
2017-12-31,3.16,$-15.25,0.0
2017-09-30,6.36,$-28.21,0.0
2017-06-30,6.0,$-25.21,0.0
2017-03-31,9.12,$-26.53,0.0
2016-12-31,16.92,$-33.72,0.0
2016-09-30,25.2,$-20.76,0.0
2016-06-30,50.4,$-48.60,0.0
2016-03-31,61.92,$-59.39,0.0
2015-12-31,57.6,$-70.19,0.0
2015-09-30,138.6,$-113.39,0.0
2015-06-30,203.4,$-109.79,0.0
2015-03-31,324.0,$-131.39,0.0
2014-12-31,257.4,$-125.99,0.0
2014-09-30,243.0,$-109.79,0.0
2014-06-30,302.4,$-125.99,0.0
2014-03-31,304.2,$-115.19,0.0
2013-12-31,417.6,$-122.39,0.0
2013-09-30,1011.6,$-115.19,0.0
