AXT Inc PE Ratio Historical Data,AXT Inc PE Ratio Historical Data,AXT Inc PE Ratio Historical Data,AXT Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.72,,0.0
2024-12-31,2.17,$-0.16,0.0
2024-09-30,2.42,$-0.25,0.0
2024-06-30,3.38,$-0.32,0.0
2024-03-31,4.59,$-0.40,0.0
2023-12-31,2.4,$-0.43,0.0
2023-09-30,2.4,$-0.31,0.0
2023-06-30,3.44,$-0.04,0.0
2023-03-31,3.98,$0.21,18.95
2022-12-31,4.38,$0.36,12.17
2022-09-30,6.7,$0.40,16.75
2022-06-30,5.86,$0.36,16.28
2022-03-31,7.02,$0.33,21.27
2021-12-31,8.81,$0.34,25.91
2021-09-30,8.33,$0.32,26.03
2021-06-30,10.98,$0.25,43.92
2021-03-31,11.66,$0.16,72.88
2020-12-31,9.57,$0.07,136.71
2020-09-30,6.12,$-0.03,0.0
2020-06-30,4.76,$-0.07,0.0
2020-03-31,3.21,$-0.04,0.0
2019-12-31,4.35,$-0.06,0.0
2019-09-30,3.56,$-0.04,0.0
2019-06-30,3.96,$0.08,49.5
2019-03-31,4.45,$0.14,31.79
2018-12-31,4.35,$0.24,18.13
2018-09-30,7.15,$0.35,20.43
2018-06-30,7.05,$0.36,19.58
2018-03-31,7.25,$0.31,23.39
2017-12-31,8.7,$0.26,33.46
2017-09-30,9.15,$0.24,38.13
2017-06-30,6.35,$0.20,31.75
2017-03-31,5.8,$0.18,32.22
2016-12-31,4.8,$0.16,30.0
2016-09-30,5.19,$0.06,86.5
2016-06-30,3.19,$-0.01,0.0
2016-03-31,2.47,$-0.04,0.0
2015-12-31,2.48,$-0.07,0.0
2015-09-30,1.92,$-0.04,0.0
2015-06-30,2.52,$-0.02,0.0
2015-03-31,2.69,$-0.01,0.0
2014-12-31,2.8,$-0.04,0.0
2014-09-30,2.44,$-0.07,0.0
2014-06-30,2.14,$-0.16,0.0
2014-03-31,2.2,$-0.23,0.0
2013-12-31,2.61,$-0.25,0.0
2013-09-30,2.34,$-0.23,0.0
2013-06-30,2.7,$-0.13,0.0
2013-03-31,2.94,$-0.03,0.0
2012-12-31,2.81,$0.10,28.1
2012-09-30,3.38,$0.20,16.9
2012-06-30,3.95,$0.36,10.97
2012-03-31,6.35,$0.53,11.98
2011-12-31,4.17,$0.61,6.84
2011-09-30,5.03,$0.68,7.4
2011-06-30,8.48,$0.66,12.85
2011-03-31,7.17,$0.62,11.56
2010-12-31,10.44,$0.57,18.32
2010-09-30,6.62,$0.51,12.98
2010-06-30,4.51,$0.41,11.0
2010-03-31,3.19,$0.20,15.95
2009-12-31,3.25,$-0.06,0.0
