AngioDynamics PE Ratio Historical Data,AngioDynamics PE Ratio Historical Data,AngioDynamics PE Ratio Historical Data,AngioDynamics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.87,,0.0
2024-11-30,6.93,$-5.63,0.0
2024-08-31,7.46,$-6.09,0.0
2024-05-31,6.31,$-4.63,0.0
2024-02-29,5.49,$-4.84,0.0
2023-11-30,6.53,$-0.35,0.0
2023-08-31,8.03,$0.16,50.19
2023-05-31,9.46,$-1.32,0.0
2023-02-28,12.38,$-0.94,0.0
2022-11-30,12.95,$-0.83,0.0
2022-08-31,22.14,$-0.83,0.0
2022-05-31,19.63,$-0.68,0.0
2022-02-28,23.53,$-1.03,0.0
2021-11-30,25.75,$-0.99,0.0
2021-08-31,28.3,$-0.89,0.0
2021-05-31,23.12,$-0.82,0.0
2021-02-28,20.95,$-4.41,0.0
2020-11-30,14.22,$-4.47,0.0
2020-08-31,9.37,$-4.43,0.0
2020-05-31,10.21,$-4.35,0.0
2020-02-29,11.49,$1.29,8.91
2019-11-30,15.37,$1.46,10.53
2019-08-31,18.37,$1.59,11.55
2019-05-31,18.79,$1.61,11.67
2019-02-28,22.41,$0.13,172.38
2018-11-30,21.49,$0.48,44.77
2018-08-31,22.42,$0.43,52.14
2018-05-31,21.03,$0.44,47.8
2018-02-28,16.29,$0.08,203.63
2017-11-30,17.18,$-0.21,0.0
2017-08-31,17.03,$0.15,113.53
2017-05-31,15.08,$0.19,79.37
2017-02-28,16.35,$-0.72,0.0
2016-11-30,16.3,$-0.78,0.0
2016-08-31,16.54,$-1.16,0.0
2016-05-31,12.01,$-1.22,0.0
2016-02-29,10.87,$-0.03,0.0
2015-11-30,11.9,$-0.17,0.0
2015-08-31,14.76,$-0.12,0.0
2015-05-31,16.05,$-0.08,0.0
2015-02-28,18.6,$-0.09,0.0
2014-11-30,17.5,$0.17,102.94
2014-08-31,14.11,$0.13,108.54
2014-05-31,14.33,$0.10,143.3
2014-02-28,15.4,$0.11,140.0
2013-11-30,15.45,$-0.06,0.0
2013-08-31,10.9,$-0.00,0.0
2013-05-31,10.88,$-0.01,0.0
2013-02-28,12.39,$-0.26,0.0
2012-11-30,10.54,$-0.30,0.0
2012-08-31,11.44,$-0.27,0.0
2012-05-31,12.04,$-0.20,0.0
2012-02-29,13.02,$0.04,325.5
2011-11-30,15.12,$0.26,58.15
2011-08-31,14.4,$0.30,48.0
2011-05-31,15.7,$0.33,47.58
2011-02-28,16.82,$0.51,32.98
2010-11-30,13.97,$0.49,28.51
2010-08-31,15.22,$0.49,31.06
2010-05-31,14.77,$0.50,29.54
2010-02-28,16.26,$0.47,34.6
2009-11-30,15.55,$0.42,37.02
