"BARINGS BDC, INC PE Ratio Historical Data","BARINGS BDC, INC PE Ratio Historical Data","BARINGS BDC, INC PE Ratio Historical Data","BARINGS BDC, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.63,,9.26
2024-12-31,9.57,$1.04,9.2
2024-09-30,9.55,$1.08,8.84
2024-06-30,9.23,$1.04,8.88
2024-03-31,8.83,$1.23,7.18
2023-12-31,7.92,$1.19,6.66
2023-09-30,7.99,$0.90,8.87
2023-06-30,6.83,$0.82,8.33
2023-03-31,6.7,$0.22,30.44
2022-12-31,6.67,$0.10,66.71
2022-09-30,6.59,$0.29,22.71
2022-06-30,7.23,$0.42,17.22
2022-03-31,7.85,$1.10,7.13
2021-12-31,8.19,$1.19,6.88
2021-09-30,8.03,$1.47,5.46
2021-06-30,7.54,$2.15,3.51
2021-03-31,7.0,$2.84,2.46
2020-12-31,6.33,$0.20,31.64
2020-09-30,5.4,$-0.04,0.0
2020-06-30,5.25,$-0.84,0.0
2020-03-31,4.85,$-1.80,0.0
2019-12-31,6.56,$1.15,5.7
2019-09-30,6.38,$0.10,63.81
2019-06-30,6.1,$-1.94,0.0
2019-03-31,6.0,$-1.80,0.0
2018-12-31,5.51,$-2.15,0.0
2018-09-30,6.06,$-0.82,0.0
2018-06-30,6.94,$-0.08,0.0
2018-03-31,6.72,$-0.44,0.0
2017-12-31,5.59,$-0.57,0.0
2017-09-30,8.15,$-0.89,0.0
2017-06-30,9.73,$0.52,18.71
2017-03-31,10.28,$0.76,13.52
2016-12-31,9.64,$0.96,10.04
2016-09-30,10.11,$1.06,9.54
2016-06-30,9.73,$1.39,7.0
2016-03-31,10.09,$1.56,6.47
2015-12-31,9.11,$1.44,6.33
2015-09-30,7.63,$1.17,6.53
2015-06-30,10.53,$0.34,30.96
2015-03-31,9.99,$0.84,11.9
2014-12-31,8.68,$1.04,8.34
2014-09-30,10.51,$1.67,6.3
2014-06-30,11.53,$2.80,4.12
2014-03-31,10.25,$2.72,3.77
2013-12-31,10.68,$2.94,3.63
2013-09-30,11.13,$2.87,3.88
2013-06-30,10.24,$2.62,3.91
2013-03-31,10.22,$2.40,4.26
2012-12-31,9.14,$2.23,4.1
2012-09-30,9.01,$2.16,4.17
2012-06-30,7.83,$2.44,3.21
2012-03-31,6.63,$2.65,2.5
2011-12-31,6.27,$2.61,2.4
2011-09-30,4.87,$2.53,1.92
2011-06-30,5.75,$2.12,2.71
2011-03-31,5.49,$1.72,3.19
2010-12-31,5.65,$1.58,3.57
2010-09-30,4.65,$1.55,3.0
2010-06-30,4.03,$1.50,2.69
2010-03-31,3.87,$1.53,2.53
2009-12-31,3.24,$1.64,1.98
