Core & Main PE Ratio Historical Data,Core & Main PE Ratio Historical Data,Core & Main PE Ratio Historical Data,Core & Main PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,48.51,,22.77
2024-10-31,44.28,$2.13,20.79
2024-07-31,53.47,$2.09,25.58
2024-04-30,56.47,$2.14,26.39
2024-01-31,41.31,$2.15,19.21
2023-10-31,30.08,$2.12,14.19
2023-07-31,31.61,$2.12,14.91
2023-04-30,26.06,$2.13,12.23
2023-01-31,22.07,$2.13,10.36
2022-10-31,23.58,$2.10,11.23
2022-07-31,24.14,$1.84,13.12
2022-04-30,23.76,$1.03,23.07
