TXNM Energy PE Ratio Historical Data,TXNM Energy PE Ratio Historical Data,TXNM Energy PE Ratio Historical Data,TXNM Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,54.06,,20.25
2024-12-31,49.17,$2.67,18.42
2024-09-30,43.39,$1.92,22.6
2024-06-30,36.64,$0.91,40.26
2024-03-31,37.31,$0.91,41.0
2023-12-31,41.23,$1.03,40.03
2023-09-30,44.22,$1.79,24.7
2023-06-30,44.33,$2.77,16.0
2023-03-31,47.85,$2.42,19.77
2022-12-31,47.6,$1.97,24.16
2022-09-30,44.62,$1.92,23.24
2022-06-30,46.62,$1.82,25.61
2022-03-31,46.17,$2.26,20.43
2021-12-31,43.84,$2.27,19.31
2021-09-30,47.56,$2.25,21.14
2021-06-30,46.56,$2.45,19.0
2021-03-31,46.52,$2.55,18.24
2020-12-31,45.72,$2.16,21.17
2020-09-30,38.7,$2.45,15.79
2020-06-30,35.73,$2.21,16.17
2020-03-31,35.32,$0.54,65.42
2019-12-31,47.14,$0.96,49.1
2019-09-30,48.15,$-0.13,0.0
2019-06-30,46.78,$-0.32,0.0
2019-03-31,43.5,$1.11,39.19
2018-12-31,37.51,$1.07,35.05
2018-09-30,36.01,$1.08,33.34
2018-06-30,35.27,$0.91,38.76
2018-03-31,34.68,$0.90,38.53
2017-12-31,36.41,$1.00,36.41
2017-09-30,36.07,$1.99,18.13
2017-06-30,34.24,$1.75,19.56
2017-03-31,33.12,$1.62,20.44
2016-12-31,30.48,$1.46,20.88
2016-09-30,28.88,$0.00,0.0
2016-06-30,31.07,$0.08,388.4
2016-03-31,29.56,$0.14,211.17
2015-12-31,26.6,$0.19,140.01
2015-09-30,24.41,$1.58,15.45
2015-06-30,21.24,$1.51,14.07
2015-03-31,25.04,$1.47,17.04
2014-12-31,25.41,$1.45,17.52
2014-09-30,21.22,$1.31,16.2
2014-06-30,24.81,$1.30,19.09
2014-03-31,22.72,$1.28,17.75
2013-12-31,20.27,$1.25,16.22
2013-09-30,18.89,$1.26,14.99
2013-06-30,18.39,$1.30,14.15
2013-03-31,19.16,$1.23,15.58
2012-12-31,16.76,$1.31,12.79
2012-09-30,17.07,$2.55,6.69
2012-06-30,15.75,$2.31,6.82
2012-03-31,14.75,$2.08,7.09
2011-12-31,14.48,$2.05,7.06
2011-09-30,12.96,$-0.48,0.0
2011-06-30,13.1,$-0.43,0.0
2011-03-31,11.57,$-0.22,0.0
2010-12-31,10.01,$-0.49,0.0
2010-09-30,8.66,$0.50,17.32
2010-06-30,8.41,$0.56,15.02
2010-03-31,9.43,$0.29,32.51
2009-12-31,9.33,$1.42,6.57
