Great Elm Capital PE Ratio Historical Data,Great Elm Capital PE Ratio Historical Data,Great Elm Capital PE Ratio Historical Data,Great Elm Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.04,,71.71
2024-12-31,10.99,$0.14,78.5
2024-09-30,9.83,$0.69,14.25
2024-06-30,9.98,$1.38,7.23
2024-03-31,9.99,$2.20,4.54
2023-12-31,9.31,$3.32,2.8
2023-09-30,8.28,$1.81,4.58
2023-06-30,6.28,$0.97,6.48
2023-03-31,6.97,$-0.58,0.0
2022-12-31,6.17,$-2.77,0.0
2022-09-30,6.58,$-1.81,0.0
2022-06-30,8.51,$-2.77,0.0
2022-03-31,9.64,$-1.24,0.0
2021-12-31,11.67,$3.06,3.81
2021-09-30,12.83,$0.48,26.73
2021-06-30,12.54,$5.58,2.25
2021-03-31,11.82,$6.96,1.7
2020-12-31,12.18,$-16.20,0.0
2020-09-30,10.6,$-14.58,0.0
2020-06-30,12.58,$-24.66,0.0
2020-03-31,7.75,$-29.27,0.0
2019-12-31,20.45,$-4.74,0.0
2019-09-30,20.77,$-10.86,0.0
2019-06-30,21.4,$-2.34,0.0
2019-03-31,19.75,$1.74,11.36
2018-12-31,18.22,$-5.10,0.0
2018-09-30,22.05,$4.80,4.6
2018-06-30,20.48,$-2.58,0.0
2018-03-31,19.89,$-5.28,0.0
2017-12-31,21.23,$-1.38,0.0
2017-09-30,21.55,$-4.20,0.0
