Dolphin Digital Media PE Ratio Historical Data,Dolphin Digital Media PE Ratio Historical Data,Dolphin Digital Media PE Ratio Historical Data,Dolphin Digital Media PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.03,,0.0
2024-09-30,1.26,$-2.08,0.0
2024-06-30,1.88,$-1.82,0.0
2024-03-31,2.92,$-2.86,0.0
2023-12-31,3.42,$-3.28,0.0
2023-09-30,3.6,$-2.86,0.0
2023-06-30,3.44,$-2.60,0.0
2023-03-31,3.62,$-1.32,0.0
2022-12-31,3.62,$-1.12,0.0
2022-09-30,5.3,$-1.16,0.0
2022-06-30,6.32,$-0.84,0.0
2022-03-31,10.42,$-0.66,0.0
2021-12-31,17.04,$-1.86,0.0
2021-09-30,24.32,$-1.16,0.0
2021-06-30,18.68,$-1.30,0.0
2021-03-31,25.42,$-2.76,0.0
2020-12-31,6.8,$-1.20,0.0
2020-09-30,6.9,$-2.00,0.0
2020-06-30,8.7,$-2.40,0.0
2020-03-31,5.36,$-1.80,0.0
2019-12-31,7.0,$-2.70,0.0
2019-09-30,8.4,$-3.80,0.0
2019-06-30,10.5,$-3.20,0.0
2019-03-31,16.5,$-2.70,0.0
2018-12-31,7.7,$-1.20,0.0
2018-09-30,22.1,$0.70,31.57
