Peapack-Gladstone Financial PE Ratio Historical Data,Peapack-Gladstone Financial PE Ratio Historical Data,Peapack-Gladstone Financial PE Ratio Historical Data,Peapack-Gladstone Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.55,,22.22
2024-12-31,32.05,$1.33,24.1
2024-09-30,27.37,$1.81,15.12
2024-06-30,22.58,$1.87,12.07
2024-03-31,24.2,$2.18,11.1
2023-12-31,29.6,$2.71,10.92
2023-09-30,25.41,$3.35,7.58
2023-06-30,26.78,$3.95,6.78
2023-03-31,29.23,$4.30,6.8
2022-12-31,36.68,$4.00,9.17
2022-09-30,33.12,$3.66,9.05
2022-06-30,29.19,$3.31,8.82
2022-03-31,34.1,$2.97,11.48
2021-12-31,34.69,$2.93,11.84
2021-09-30,32.64,$2.31,14.13
2021-06-30,30.36,$2.28,13.31
2021-03-31,30.12,$1.97,15.29
2020-12-31,22.16,$1.37,16.18
2020-09-30,14.71,$1.85,7.95
2020-06-30,18.14,$1.77,10.25
2020-03-31,17.33,$1.93,8.98
2019-12-31,29.79,$2.44,12.21
2019-09-30,26.98,$2.35,11.48
2019-06-30,27.07,$2.28,11.87
2019-03-31,25.24,$2.31,10.92
2018-12-31,24.19,$2.30,10.52
2018-09-30,29.62,$2.31,12.82
2018-06-30,33.12,$2.31,14.34
2018-03-31,31.92,$2.14,14.92
2017-12-31,33.44,$2.03,16.47
2017-09-30,32.16,$1.90,16.93
2017-06-30,29.78,$1.77,16.83
2017-03-31,28.12,$1.72,16.35
2016-12-31,29.3,$1.60,18.31
2016-09-30,21.22,$1.45,14.63
2016-06-30,17.48,$1.37,12.76
2016-03-31,15.92,$1.31,12.15
2015-12-31,19.37,$1.30,14.9
2015-09-30,19.84,$1.02,19.46
2015-06-30,20.78,$0.99,20.99
2015-03-31,20.15,$0.97,20.78
2014-12-31,17.27,$0.90,19.19
2014-09-30,16.24,$1.15,14.12
2014-06-30,19.63,$1.05,18.7
2014-03-31,20.31,$0.95,21.38
2013-12-31,17.59,$1.01,17.41
2013-09-30,17.04,$0.88,19.36
2013-06-30,16.01,$0.98,16.33
2013-03-31,13.61,$1.07,12.72
2012-12-31,12.81,$1.05,12.2
2012-09-30,14.82,$1.19,12.45
2012-06-30,14.02,$1.45,9.67
2012-03-31,12.18,$1.36,8.96
2011-12-31,9.64,$1.24,7.78
2011-09-30,8.85,$1.16,7.63
2011-06-30,10.47,$0.76,13.78
2011-03-31,11.74,$0.70,16.77
2010-12-31,11.51,$0.68,16.93
2010-09-30,10.35,$0.61,16.97
2010-06-30,10.24,$0.53,19.32
2010-03-31,13.7,$0.54,25.37
2009-12-31,11.01,$0.64,17.28
