CPI Aerostructures PE Ratio Historical Data,CPI Aerostructures PE Ratio Historical Data,CPI Aerostructures PE Ratio Historical Data,CPI Aerostructures PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.62,,2.64
2024-09-30,3.44,$1.37,2.51
2024-06-30,2.47,$1.33,1.86
2024-03-31,2.34,$1.31,1.79
2023-12-31,2.73,$1.38,1.98
2023-09-30,3.34,$0.74,4.51
2023-06-30,3.89,$0.87,4.47
2023-03-31,3.8,$0.82,4.63
2022-12-31,3.2,$0.74,4.32
2022-09-30,2.33,$0.15,15.53
2022-06-30,2.33,$0.44,5.3
2022-03-31,2.95,$0.45,6.56
2021-12-31,2.73,$0.55,4.96
2021-09-30,2.75,$0.70,3.93
2021-06-30,3.55,$0.33,10.76
2021-03-31,4.54,$0.23,19.74
2020-12-31,3.83,$-0.11,0.0
2020-09-30,2.68,$-0.34,0.0
2020-06-30,3.29,$-0.27,0.0
2020-03-31,2.25,$0.01,225.0
2019-12-31,6.73,$0.39,17.26
2019-09-30,8.22,$0.44,18.68
2019-06-30,8.41,$0.45,18.69
2019-03-31,6.5,$0.36,18.06
2018-12-31,6.37,$0.36,17.69
2018-09-30,8.35,$0.66,12.65
2018-06-30,10.5,$0.70,15.0
2018-03-31,9.75,$0.65,15.0
2017-12-31,8.95,$0.65,13.77
2017-09-30,9.35,$0.66,14.17
2017-06-30,9.4,$0.66,14.24
2017-03-31,6.75,$0.78,8.65
2016-12-31,9.25,$-0.43,0.0
2016-09-30,6.86,$-0.59,0.0
2016-06-30,6.15,$-0.50,0.0
2016-03-31,7.33,$-0.59,0.0
2015-12-31,9.73,$0.59,16.49
2015-09-30,8.81,$0.71,12.41
2015-06-30,10.01,$0.63,15.89
2015-03-31,12.2,$-2.99,0.0
2014-12-31,10.21,$-2.90,0.0
2014-09-30,9.85,$-2.82,0.0
2014-06-30,12.67,$-2.79,0.0
2014-03-31,13.0,$0.92,14.13
2013-12-31,15.04,$0.92,16.35
2013-09-30,11.59,$1.07,10.83
2013-06-30,10.85,$1.17,9.27
2013-03-31,8.57,$1.32,6.49
2012-12-31,10.01,$1.39,7.2
2012-09-30,10.84,$1.33,8.15
2012-06-30,11.0,$1.25,8.8
2012-03-31,14.87,$1.11,13.4
2011-12-31,11.87,$1.03,11.52
2011-09-30,9.5,$0.22,43.18
2011-06-30,13.63,$0.18,75.72
2011-03-31,15.2,$0.14,108.57
2010-12-31,14.08,$0.09,156.44
2010-09-30,10.0,$0.78,12.82
2010-06-30,9.85,$0.72,13.68
2010-03-31,7.96,$0.68,11.71
2009-12-31,6.01,$0.63,9.54
