Loop Industries PE Ratio Historical Data,Loop Industries PE Ratio Historical Data,Loop Industries PE Ratio Historical Data,Loop Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.17,,0.0
2024-11-30,1.48,$-0.56,0.0
2024-08-31,1.63,$-0.40,0.0
2024-05-31,2.65,$-0.40,0.0
2024-02-29,3.14,$-0.44,0.0
2023-11-30,3.51,$-0.23,0.0
2023-08-31,2.81,$-0.16,0.0
2023-05-31,3.01,$-0.22,0.0
2023-02-28,2.6,$-0.45,0.0
2022-11-30,2.8,$-0.86,0.0
2022-08-31,5.36,$-1.05,0.0
2022-05-31,5.32,$-1.08,0.0
2022-02-28,6.94,$-0.99,0.0
2021-11-30,13.64,$-1.01,0.0
2021-08-31,9.07,$-1.14,0.0
2021-05-31,9.23,$-1.08,0.0
2021-02-28,8.61,$-0.89,0.0
2020-11-30,8.36,$-0.66,0.0
2020-08-31,11.02,$-0.42,0.0
2020-05-31,8.58,$-0.38,0.0
2020-02-29,8.78,$-0.39,0.0
2019-11-30,10.19,$-0.52,0.0
2019-08-31,14.15,$-0.51,0.0
2019-05-31,8.45,$-0.52,0.0
2019-02-28,9.69,$-0.52,0.0
2018-11-30,8.19,$-0.41,0.0
2018-08-31,9.88,$-0.52,0.0
