Shoals Technologies PE Ratio Historical Data,Shoals Technologies PE Ratio Historical Data,Shoals Technologies PE Ratio Historical Data,Shoals Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.31,,22.07
2024-12-31,5.53,$0.15,36.87
2024-09-30,5.61,$0.20,28.05
2024-06-30,6.24,$0.14,44.57
2024-03-31,11.18,$0.18,62.11
2023-12-31,15.54,$0.25,62.16
2023-09-30,18.25,$0.85,21.47
2023-06-30,25.56,$0.98,26.08
2023-03-31,22.79,$0.91,25.04
2022-12-31,24.67,$0.83,29.72
2022-09-30,21.55,$0.09,239.44
2022-06-30,16.48,$0.04,412.0
2022-03-31,17.04,$0.05,340.8
2021-12-31,24.3,$0.03,810.0
