Farmers & Merchants Bancorp PE Ratio Historical Data,Farmers & Merchants Bancorp PE Ratio Historical Data,Farmers & Merchants Bancorp PE Ratio Historical Data,Farmers & Merchants Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.32,,12.8
2024-12-31,29.45,$1.90,15.5
2024-09-30,27.42,$1.70,16.13
2024-06-30,22.79,$1.57,14.52
2024-03-31,21.88,$1.59,13.76
2023-12-31,24.1,$1.67,14.43
2023-09-30,16.7,$1.79,9.33
2023-06-30,21.24,$2.12,10.02
2023-03-31,22.94,$2.31,9.93
2022-12-31,25.42,$2.46,10.33
2022-09-30,24.94,$2.52,9.9
2022-06-30,30.38,$2.37,12.82
2022-03-31,33.09,$2.18,15.18
2021-12-31,29.9,$2.00,14.95
2021-09-30,20.28,$2.01,10.09
2021-06-30,19.6,$1.88,10.42
2021-03-31,22.4,$1.87,11.98
2020-12-31,20.36,$1.80,11.31
2020-09-30,17.58,$1.63,10.79
2020-06-30,18.51,$1.61,11.5
2020-03-31,22.4,$1.74,12.87
2019-12-31,25.9,$1.66,15.6
2019-09-30,22.18,$1.57,14.13
2019-06-30,24.74,$1.61,15.36
2019-03-31,25.43,$1.49,17.07
2018-12-31,32.35,$1.61,20.09
2018-09-30,35.54,$1.64,21.67
2018-06-30,33.67,$1.57,21.44
2018-03-31,33.58,$1.48,22.69
