L.B Foster PE Ratio Historical Data,L.B Foster PE Ratio Historical Data,L.B Foster PE Ratio Historical Data,L.B Foster PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.64,,5.28
2024-12-31,26.9,$3.91,6.88
2024-09-30,20.43,$3.89,5.25
2024-06-30,21.52,$0.67,32.12
2024-03-31,27.31,$0.73,37.41
2023-12-31,21.99,$0.13,169.15
2023-09-30,18.91,$-3.92,0.0
2023-06-30,14.28,$-4.17,0.0
2023-03-31,11.48,$-4.31,0.0
2022-12-31,9.68,$-4.26,0.0
2022-09-30,9.76,$-0.20,0.0
2022-06-30,12.87,$0.22,58.5
2022-03-31,15.37,$0.31,49.58
2021-12-31,13.75,$0.34,40.44
2021-09-30,15.49,$0.57,27.18
2021-06-30,18.64,$0.99,18.83
2021-03-31,17.9,$0.77,23.25
2020-12-31,15.05,$0.71,21.2
2020-09-30,13.42,$2.97,4.52
2020-06-30,12.77,$2.62,4.87
2020-03-31,12.36,$3.47,3.56
2019-12-31,19.38,$4.00,4.85
2019-09-30,21.67,$-2.43,0.0
2019-06-30,27.34,$-2.25,0.0
2019-03-31,18.82,$-2.68,0.0
2018-12-31,15.9,$-3.23,0.0
2018-09-30,20.55,$0.77,26.69
2018-06-30,22.95,$0.61,37.62
2018-03-31,23.55,$0.43,54.77
2017-12-31,27.15,$0.40,67.88
2017-09-30,22.75,$-3.60,0.0
2017-06-30,21.45,$-4.49,0.0
2017-03-31,12.5,$-13.74,0.0
2016-12-31,13.6,$-13.79,0.0
2016-09-30,12.01,$-9.50,0.0
2016-06-30,10.85,$-14.52,0.0
2016-03-31,18.04,$-5.04,0.0
2015-12-31,13.54,$-4.35,0.0
2015-09-30,12.13,$-4.09,0.0
2015-06-30,34.11,$2.39,14.27
2015-03-31,46.74,$2.54,18.4
2014-12-31,47.77,$2.48,19.26
2014-09-30,45.15,$2.61,17.3
2014-06-30,53.15,$2.68,19.83
2014-03-31,45.99,$2.72,16.91
2013-12-31,46.39,$2.85,16.28
2013-09-30,44.84,$2.79,16.07
2013-06-30,42.29,$2.65,15.96
2013-03-31,43.36,$1.74,24.92
2012-12-31,42.5,$1.59,26.73
2012-09-30,31.62,$1.54,20.53
2012-06-30,27.95,$1.68,16.64
2012-03-31,27.83,$2.49,11.18
2011-12-31,27.59,$2.23,12.37
2011-09-30,21.66,$2.23,9.71
2011-06-30,32.03,$1.91,16.77
2011-03-31,41.93,$1.88,22.3
2010-12-31,39.79,$1.98,20.1
2010-09-30,28.13,$1.76,15.98
2010-06-30,25.19,$1.73,14.56
2010-03-31,28.08,$1.41,19.91
2009-12-31,28.97,$1.53,18.94
