Cidara Therapeutics PE Ratio Historical Data,Cidara Therapeutics PE Ratio Historical Data,Cidara Therapeutics PE Ratio Historical Data,Cidara Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.1,,0.0
2024-12-31,26.88,$-30.09,0.0
2024-09-30,10.75,$-25.52,0.0
2024-06-30,11.94,$-24.87,0.0
2024-03-31,18.4,$-7.68,0.0
2023-12-31,15.88,$-4.80,0.0
2023-09-30,18.84,$-7.80,0.0
2023-06-30,22.6,$-2.60,0.0
2023-03-31,25.4,$-3.60,0.0
2022-12-31,15.13,$-9.60,0.0
2022-09-30,12.56,$-11.00,0.0
2022-06-30,9.77,$-21.80,0.0
2022-03-31,16.65,$-14.40,0.0
2021-12-31,25.4,$-16.80,0.0
2021-09-30,44.8,$-21.40,0.0
2021-06-30,40.4,$-22.20,0.0
2021-03-31,53.2,$-34.80,0.0
2020-12-31,40.0,$-36.20,0.0
2020-09-30,57.0,$-34.80,0.0
2020-06-30,73.8,$-25.00,0.0
2020-03-31,49.6,$-25.80,0.0
2019-12-31,76.8,$-28.60,0.0
2019-09-30,39.9,$-29.00,0.0
2019-06-30,33.6,$-40.40,0.0
2019-03-31,53.0,$-53.20,0.0
2018-12-31,47.0,$-57.20,0.0
2018-09-30,88.0,$-62.20,0.0
2018-06-30,104.0,$-67.00,0.0
2018-03-31,80.0,$-64.20,0.0
2017-12-31,136.0,$-64.20,0.0
2017-09-30,162.0,$-68.00,0.0
2017-06-30,150.0,$-71.00,0.0
2017-03-31,156.0,$-68.20,0.0
2016-12-31,208.0,$-66.40,0.0
2016-09-30,229.0,$-63.20,0.0
2016-06-30,206.2,$-59.00,0.0
2016-03-31,254.0,$-53.80,0.0
