NRx Pharmaceuticals PE Ratio Historical Data,NRx Pharmaceuticals PE Ratio Historical Data,NRx Pharmaceuticals PE Ratio Historical Data,NRx Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.07,,0.0
2024-12-31,2.2,$-1.64,0.0
2024-09-30,1.69,$-2.14,0.0
2024-06-30,2.44,$-2.69,0.0
2024-03-31,4.72,$-3.14,0.0
2023-12-31,4.6,$-4.00,0.0
2023-09-30,2.6,$-5.10,0.0
2023-06-30,4.84,$-5.80,0.0
2023-03-31,6.59,$-5.70,0.0
2022-12-31,11.1,$-6.20,0.0
2022-09-30,7.4,$-5.50,0.0
2022-06-30,6.0,$-8.10,0.0
2022-03-31,24.5,$-72.10,0.0
2021-12-31,47.8,$-73.30,0.0
2021-09-30,92.7,$-72.40,0.0
2021-06-30,116.2,$-68.40,0.0
2021-03-31,354.2,$-3.30,0.0
2020-12-31,244.0,0,0.0
2020-09-30,107.3,0,0.0
2020-06-30,105.0,0,0.0
2020-03-31,107.7,0,0.0
2019-12-31,106.0,0,0.0
2019-09-30,105.8,0,0.0
2019-06-30,105.3,0,0.0
2019-03-31,103.3,0,0.0
2018-12-31,102.0,0,0.0
2018-09-30,100.1,0,0.0
