Citizens Financial PE Ratio Historical Data,Citizens Financial PE Ratio Historical Data,Citizens Financial PE Ratio Historical Data,Citizens Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.99,,13.53
2024-12-31,43.76,$3.03,14.44
2024-09-30,40.67,$2.54,16.01
2024-06-30,35.33,$2.62,13.49
2024-03-31,35.15,$2.76,12.74
2023-12-31,31.71,$3.11,10.2
2023-09-30,25.2,$4.02,6.27
2023-06-30,24.19,$4.40,5.5
2023-03-31,27.74,$4.15,6.68
2022-12-31,35.6,$4.08,8.73
2022-09-30,30.75,$4.00,7.69
2022-06-30,31.59,$3.95,8.0
2022-03-31,39.73,$4.72,8.42
2021-12-31,41.1,$5.16,7.97
2021-09-30,40.54,$4.98,8.14
2021-06-30,39.22,$4.48,8.76
2021-03-31,37.44,$3.57,10.49
2020-12-31,30.02,$2.23,13.46
2020-09-30,20.91,$2.22,9.42
2020-06-30,20.55,$2.51,8.19
2020-03-31,15.05,$2.93,5.14
2019-12-31,32.16,$3.82,8.42
2019-09-30,27.73,$3.80,7.3
2019-06-30,27.46,$3.74,7.34
2019-03-31,25.02,$3.67,6.82
2018-12-31,22.68,$3.53,6.42
2018-09-30,29.2,$3.92,7.45
2018-06-30,29.26,$3.69,7.93
2018-03-31,31.4,$3.44,9.13
2017-12-31,31.25,$3.27,9.56
2017-09-30,28.06,$2.47,11.36
2017-06-30,26.3,$2.35,11.19
2017-03-31,25.37,$2.18,11.64
2016-12-31,26.07,$1.98,13.16
2016-09-30,18.0,$1.85,9.73
2016-06-30,14.47,$1.69,8.56
2016-03-31,15.1,$1.58,9.55
2015-12-31,18.78,$1.55,12.12
2015-09-30,17.04,$1.49,11.44
2015-06-30,19.43,$1.43,13.59
