CryoPort PE Ratio Historical Data,CryoPort PE Ratio Historical Data,CryoPort PE Ratio Historical Data,CryoPort PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.77,,0.0
2024-12-31,7.78,$-2.49,0.0
2024-09-30,8.11,$-3.38,0.0
2024-06-30,6.91,$-3.67,0.0
2024-03-31,17.7,$-2.47,0.0
2023-12-31,15.49,$-2.20,0.0
2023-09-30,13.71,$-1.13,0.0
2023-06-30,17.25,$-0.97,0.0
2023-03-31,24.0,$-0.78,0.0
2022-12-31,17.35,$-0.93,0.0
2022-09-30,24.36,$-6.15,0.0
2022-06-30,30.98,$-6.18,0.0
2022-03-31,34.91,$-6.11,0.0
2021-12-31,59.17,$-5.93,0.0
2021-09-30,66.51,$-1.79,0.0
2021-06-30,63.1,$-1.90,0.0
2021-03-31,52.01,$-1.89,0.0
2020-12-31,43.88,$-1.87,0.0
2020-09-30,47.4,$-0.58,0.0
2020-06-30,30.25,$-0.64,0.0
2020-03-31,17.07,$-0.57,0.0
2019-12-31,16.46,$-0.54,0.0
2019-09-30,16.36,$-0.59,0.0
2019-06-30,18.32,$-0.31,0.0
2019-03-31,12.92,$-0.32,0.0
2018-12-31,11.03,$-0.34,0.0
2018-09-30,12.81,$-0.35,0.0
2018-06-30,15.78,$-0.36,0.0
2018-03-31,8.6,$-0.35,0.0
2017-12-31,8.59,$-0.35,0.0
2017-09-30,9.85,$-0.51,0.0
2017-06-30,4.92,$-0.57,0.0
2017-03-31,2.36,$-0.77,0.0
2016-12-31,3.24,$-0.93,0.0
2016-09-30,1.97,$-1.10,0.0
2016-06-30,2.08,$-1.37,0.0
