Hubbell Inc PE Ratio Historical Data,Hubbell Inc PE Ratio Historical Data,Hubbell Inc PE Ratio Historical Data,Hubbell Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,339.18,,23.62
2024-12-31,418.89,$14.36,29.17
2024-09-30,427.12,$13.88,30.77
2024-06-30,363.33,$13.53,26.85
2024-03-31,412.6,$13.41,30.77
2023-12-31,325.92,$14.05,23.2
2023-09-30,309.26,$13.16,23.5
2023-06-30,326.05,$12.03,27.1
2023-03-31,238.34,$10.47,22.76
2022-12-31,228.87,$10.41,21.99
2022-09-30,216.51,$10.28,21.06
2022-06-30,172.51,$9.69,17.8
2022-03-31,176.56,$9.17,19.25
2021-12-31,198.94,$7.28,27.33
2021-09-30,171.68,$6.62,25.93
2021-06-30,176.71,$6.60,26.77
2021-03-31,175.85,$6.48,27.14
2020-12-31,146.72,$6.43,22.82
2020-09-30,127.28,$6.80,18.72
2020-06-30,115.88,$7.22,16.05
2020-03-31,105.3,$7.35,14.33
2019-12-31,134.73,$7.30,18.46
2019-09-30,119.03,$7.05,16.88
2019-06-30,117.36,$6.73,17.44
2019-03-31,105.43,$6.80,15.5
2018-12-31,88.15,$6.53,13.5
2018-09-30,118.52,$5.30,22.36
2018-06-30,93.25,$4.71,19.8
2018-03-31,106.65,$4.32,24.69
2017-12-31,117.85,$4.40,26.78
2017-09-30,100.41,$5.19,19.35
2017-06-30,97.33,$5.28,18.43
2017-03-31,102.63,$5.30,19.37
2016-12-31,99.19,$5.25,18.89
2016-09-30,91.01,$5.15,17.67
