Sangoma Technologies PE Ratio Historical Data,Sangoma Technologies PE Ratio Historical Data,Sangoma Technologies PE Ratio Historical Data,Sangoma Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.63,,0.0
2024-12-31,7.14,$-0.21,0.0
2024-09-30,5.61,$-0.25,0.0
2024-06-30,5.01,$-0.26,0.0
2024-03-31,4.84,$-0.93,0.0
2023-12-31,3.2,$-0.91,0.0
2023-09-30,3.47,$-0.89,0.0
2023-06-30,3.7,$-0.88,0.0
2023-03-31,3.76,$-3.15,0.0
2022-12-31,4.85,$-3.34,0.0
2022-09-30,5.25,$-3.34,0.0
