MIND C.T.I PE Ratio Historical Data,MIND C.T.I PE Ratio Historical Data,MIND C.T.I PE Ratio Historical Data,MIND C.T.I PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.99,,12.41
2024-12-31,1.98,$0.16,12.34
2024-09-30,1.97,$0.22,8.95
2024-06-30,1.86,$0.24,7.75
2024-03-31,1.9,$0.25,7.59
2023-12-31,1.75,$0.25,7.0
2023-09-30,1.68,$0.25,6.71
2023-06-30,1.74,$0.25,6.96
2023-03-31,1.77,$0.25,7.07
2022-12-31,1.68,$0.25,6.7
2022-09-30,1.67,$0.27,6.2
2022-06-30,1.9,$0.28,6.77
2022-03-31,2.34,$0.29,8.06
2021-12-31,2.28,$0.29,7.85
2021-09-30,2.31,$0.28,8.24
2021-06-30,2.28,$0.28,8.14
2021-03-31,1.94,$0.28,6.94
2020-12-31,1.74,$0.27,6.46
2020-09-30,1.56,$0.27,5.79
2020-06-30,1.41,$0.26,5.44
2020-03-31,1.17,$0.24,4.88
2019-12-31,1.44,$0.26,5.53
2019-09-30,1.41,$0.26,5.43
2019-06-30,1.33,$0.27,4.92
2019-03-31,1.28,$0.28,4.56
2018-12-31,1.21,$0.26,4.67
2018-09-30,1.24,$0.27,4.58
2018-06-30,1.16,$0.26,4.44
2018-03-31,1.18,$0.30,3.92
2017-12-31,1.31,$0.29,4.52
2017-09-30,1.22,$0.26,4.71
2017-06-30,1.19,$0.26,4.56
2017-03-31,1.15,$0.21,5.47
2016-12-31,1.04,$0.22,4.71
2016-09-30,0.91,$0.23,3.97
2016-06-30,0.9,$0.25,3.59
2016-03-31,0.85,$0.28,3.04
2015-12-31,0.95,$0.27,3.5
2015-09-30,1.03,$0.31,3.32
2015-06-30,0.97,$0.29,3.35
2015-03-31,1.19,$0.29,4.11
2014-12-31,1.35,$0.29,4.67
2014-09-30,1.06,$0.24,4.42
2014-06-30,0.81,$0.21,3.87
2014-03-31,0.66,$0.15,4.39
2013-12-31,0.62,$0.11,5.65
2013-09-30,0.52,$0.13,3.98
2013-06-30,0.53,$0.17,3.13
2013-03-31,0.58,$0.18,3.2
2012-12-31,0.55,$0.23,2.39
2012-09-30,0.53,$0.23,2.3
2012-06-30,0.5,$0.21,2.4
2012-03-31,0.51,$0.23,2.22
2011-12-31,0.46,$0.23,2.0
2011-09-30,0.43,$0.26,1.66
2011-06-30,0.68,$0.23,2.94
2011-03-31,0.83,$0.25,3.3
2010-12-31,0.56,$0.26,2.17
2010-09-30,0.43,$0.22,1.97
2010-06-30,0.45,$1.22,0.37
2010-03-31,0.4,$1.11,0.36
2009-12-31,0.19,$1.05,0.18
