Astronics PE Ratio Historical Data,Astronics PE Ratio Historical Data,Astronics PE Ratio Historical Data,Astronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.0,,0.0
2024-12-31,15.96,$-0.47,0.0
2024-09-30,19.48,$-0.19,0.0
2024-06-30,20.03,$-0.36,0.0
2024-03-31,19.04,$-0.77,0.0
2023-12-31,17.42,$-0.82,0.0
2023-09-30,15.86,$-1.23,0.0
2023-06-30,19.86,$-1.18,0.0
2023-03-31,13.36,$-1.15,0.0
2022-12-31,10.3,$-1.11,0.0
2022-09-30,7.86,$-0.85,0.0
2022-06-30,10.17,$-0.62,0.0
2022-03-31,12.93,$-0.54,0.0
2021-12-31,12.0,$-0.83,0.0
2021-09-30,14.06,$-1.53,0.0
2021-06-30,17.51,$-1.47,0.0
2021-03-31,18.04,$-1.98,0.0
2020-12-31,13.23,$-3.76,0.0
2020-09-30,7.72,$-4.21,0.0
2020-06-30,10.56,$-4.00,0.0
2020-03-31,9.18,$-3.03,0.0
2019-12-31,27.95,$1.49,18.76
2019-09-30,29.38,$2.96,9.93
2019-06-30,40.22,$3.44,11.69
2019-03-31,32.72,$3.73,8.77
2018-12-31,30.45,$1.49,20.44
2018-09-30,43.5,$0.92,47.28
2018-06-30,35.97,$0.61,58.97
2018-03-31,37.3,$0.38,98.16
2017-12-31,41.47,$0.65,63.8
2017-09-30,29.75,$1.18,25.21
2017-06-30,30.47,$1.38,22.08
2017-03-31,31.73,$1.69,18.78
2016-12-31,33.84,$1.75,19.34
2016-09-30,45.05,$1.95,23.1
2016-06-30,33.26,$2.48,13.41
2016-03-31,38.15,$2.68,14.24
2015-12-31,40.71,$2.71,15.02
2015-09-30,40.43,$2.99,13.52
2015-06-30,70.89,$2.80,25.32
2015-03-31,73.7,$2.73,27.0
2014-12-31,55.31,$2.66,20.79
2014-09-30,47.68,$2.19,21.77
2014-06-30,56.45,$1.83,30.85
2014-03-31,63.41,$1.47,43.14
2013-12-31,51.0,$1.63,31.29
2013-09-30,41.39,$1.66,24.94
2013-06-30,34.03,$1.60,21.27
2013-03-31,24.83,$1.65,15.05
2012-12-31,19.05,$1.55,12.29
2012-09-30,22.3,$1.58,14.12
2012-06-30,20.45,$1.77,11.55
2012-03-31,25.31,$1.77,14.3
2011-12-31,25.93,$1.76,14.73
2011-09-30,20.46,$1.75,11.69
2011-06-30,20.27,$1.64,12.36
2011-03-31,16.57,$1.47,11.27
2010-12-31,13.82,$1.33,10.39
2010-09-30,11.49,$0.04,287.17
2010-06-30,10.77,$-0.14,0.0
2010-03-31,6.46,$-0.18,0.0
2009-12-31,5.63,$-0.36,0.0
