WisdomTree PE Ratio Historical Data,WisdomTree PE Ratio Historical Data,WisdomTree PE Ratio Historical Data,WisdomTree PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.78,,28.32
2024-12-31,10.5,$0.31,33.87
2024-09-30,9.96,$0.29,34.35
2024-06-30,9.85,$0.49,20.11
2024-03-31,9.11,$0.68,13.39
2023-12-31,6.84,$0.65,10.52
2023-09-30,6.88,$0.29,23.71
2023-06-30,6.71,$0.72,9.31
2023-03-31,5.7,$0.45,12.67
2022-12-31,5.28,$0.27,19.55
2022-09-30,4.51,$0.54,8.34
2022-06-30,4.85,$0.08,60.68
2022-03-31,5.59,$0.14,39.92
2021-12-31,5.8,$0.31,18.7
2021-09-30,5.35,$0.14,38.18
2021-06-30,5.82,$0.09,64.65
2021-03-31,5.84,$-0.11,0.0
2020-12-31,4.97,$-0.26,0.0
2020-09-30,2.95,$-0.14,0.0
2020-06-30,3.18,$-0.11,0.0
2020-03-31,2.11,$-0.01,0.0
2019-12-31,4.36,$0.10,43.57
2019-09-30,4.68,$0.00,0.0
2019-06-30,5.49,$0.11,49.94
2019-03-31,6.26,$0.20,31.3
2018-12-31,5.87,$0.22,26.67
2018-09-30,7.45,$0.30,24.85
2018-06-30,7.95,$0.23,34.57
2018-03-31,8.01,$0.22,36.41
2017-12-31,10.93,$0.20,54.65
2017-09-30,8.81,$0.22,40.03
2017-06-30,8.73,$0.22,39.68
2017-03-31,7.72,$0.16,48.26
2016-12-31,9.39,$0.20,46.93
2016-09-30,8.59,$0.33,26.03
2016-06-30,8.11,$0.44,18.43
2016-03-31,9.4,$0.59,15.93
2015-12-31,12.79,$0.59,21.68
2015-09-30,12.95,$0.51,25.4
2015-06-30,17.59,$0.42,41.87
2015-03-31,17.11,$0.32,53.47
2014-12-31,12.45,$0.45,27.66
2014-09-30,8.99,$0.50,17.98
2014-06-30,9.76,$0.53,18.42
2014-03-31,10.36,$0.54,19.19
2013-12-31,13.99,$0.38,36.82
2013-09-30,9.16,$0.30,30.55
2013-06-30,9.14,$0.22,41.55
2013-03-31,8.22,$0.13,63.2
2012-12-31,4.83,$0.08,60.43
2012-09-30,5.29,$0.05,105.86
2012-06-30,5.19,$0.03,173.0
2012-03-31,6.61,$0.04,165.3
2011-12-31,4.78,$0.03,159.31
2011-09-30,5.55,$0.01,554.56
2011-06-30,5.01,$-0.02,0.0
