Aris Mining PE Ratio Historical Data,Aris Mining PE Ratio Historical Data,Aris Mining PE Ratio Historical Data,Aris Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.56,,228.0
2024-12-31,3.5,$0.02,175.0
2024-09-30,4.6,$-0.02,0.0
2024-06-30,3.76,$0.08,47.0
