VirnetX Holding Corp PE Ratio Historical Data,VirnetX Holding Corp PE Ratio Historical Data,VirnetX Holding Corp PE Ratio Historical Data,VirnetX Holding Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.32,,0.0
2024-09-30,7.05,$-5.33,0.0
2024-06-30,6.8,$-5.62,0.0
2024-03-31,6.34,$-7.75,0.0
2023-12-31,7.0,$-7.76,0.0
2023-09-30,5.08,$-12.56,0.0
2023-06-30,9.3,$-12.40,0.0
2023-03-31,10.1,$-10.40,0.0
2022-12-31,10.02,$-10.20,0.0
2022-09-30,9.02,$-5.20,0.0
2022-06-30,9.02,$-5.00,0.0
2022-03-31,12.56,$-4.80,0.0
2021-12-31,20.04,$-11.20,0.0
2021-09-30,30.21,$-11.40,0.0
2021-06-30,32.91,$-11.60,0.0
2021-03-31,42.93,$-12.80,0.0
2020-12-31,38.85,$78.60,0.49
2020-09-30,40.62,$79.40,0.51
2020-06-30,50.1,$79.20,0.63
2020-03-31,35.99,$80.20,0.45
2019-12-31,25.0,$-5.40,0.0
2019-09-30,35.53,$-6.00,0.0
2019-06-30,40.86,$-6.20,0.0
2019-03-31,41.64,$-7.00,0.0
2018-12-31,15.79,$-8.00,0.0
2018-09-30,30.59,$-8.20,0.0
2018-06-30,22.37,$-7.80,0.0
2018-03-31,25.99,$-7.20,0.0
2017-12-31,24.34,$-6.00,0.0
2017-09-30,25.66,$-6.40,0.0
2017-06-30,29.93,$-7.80,0.0
2017-03-31,15.13,$-8.40,0.0
2016-12-31,14.47,$-10.20,0.0
2016-09-30,20.13,$-10.80,0.0
2016-06-30,26.32,$-10.60,0.0
2016-03-31,30.2,$-12.20,0.0
2015-12-31,16.91,$-11.20,0.0
2015-09-30,23.42,$-5.40,0.0
2015-06-30,27.63,$-4.80,0.0
2015-03-31,40.07,$-3.80,0.0
2014-12-31,36.12,$-4.00,0.0
2014-09-30,39.47,$-9.80,0.0
2014-06-30,115.86,$-10.00,0.0
2014-03-31,93.29,$-10.20,0.0
2013-12-31,127.7,$-10.80,0.0
2013-09-30,134.21,$-10.60,0.0
2013-06-30,131.51,$-10.40,0.0
2013-03-31,126.12,$-11.60,0.0
2012-12-31,192.63,$-10.40,0.0
2012-09-30,167.3,$-7.80,0.0
2012-06-30,231.91,$-3.80,0.0
2012-03-31,157.43,$-3.80,0.0
2011-12-31,164.28,$-4.80,0.0
2011-09-30,98.62,$-20.00,0.0
2011-06-30,190.4,$-22.20,0.0
2011-03-31,130.99,$16.20,8.09
2010-12-31,97.7,$14.60,6.69
2010-09-30,96.58,$28.80,3.35
2010-06-30,38.95,$27.40,1.42
2010-03-31,29.13,$-9.20,0.0
2009-12-31,17.84,$-6.60,0.0
