Ovintiv PE Ratio Historical Data,Ovintiv PE Ratio Historical Data,Ovintiv PE Ratio Historical Data,Ovintiv PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,42.12,,10.03
2024-12-31,40.5,$4.20,9.64
2024-09-30,38.03,$7.54,5.04
2024-06-30,46.17,$7.09,6.51
2024-03-31,50.79,$7.16,7.09
2023-12-31,42.73,$7.89,5.42
2023-09-30,45.96,$10.08,4.56
2023-06-30,36.56,$13.24,2.76
2023-03-31,34.37,$17.11,2.01
2022-12-31,47.98,$14.20,3.38
2022-09-30,43.31,$8.90,4.87
2022-06-30,41.41,$3.99,10.38
2022-03-31,50.44,$-2.01,0.0
2021-12-31,31.3,$0.09,347.73
2021-09-30,30.4,$-2.27,0.0
2021-06-30,28.96,$-7.84,0.0
2021-03-31,21.85,$-23.92,0.0
2020-12-31,13.13,$-23.46,0.0
2020-09-30,7.41,$-21.12,0.0
2020-06-30,8.59,$-14.72,0.0
2020-03-31,2.4,$3.35,0.72
2019-12-31,20.14,$0.73,27.59
2019-09-30,19.66,$6.15,3.2
2019-06-30,21.84,$5.80,3.77
2019-03-31,30.71,$3.80,8.08
2018-12-31,24.45,$5.60,4.37
2018-09-30,55.33,$-1.00,0.0
2018-06-30,55.01,$0.30,183.36
2018-03-31,46.31,$2.80,16.54
2017-12-31,56.05,$4.20,13.34
2017-09-30,49.47,$3.95,12.52
2017-06-30,36.9,$4.30,8.58
2017-03-31,49.03,$-0.95,0.0
2016-12-31,49.08,$-5.40,0.0
2016-09-30,43.72,$-7.55,0.0
2016-06-30,32.48,$-16.75,0.0
2016-03-31,25.34,$-22.75,0.0
2015-12-31,21.13,$-31.75,0.0
2015-09-30,26.42,$-26.80,0.0
2015-06-30,44.78,$-0.50,0.0
2015-03-31,45.05,$10.90,4.13
2014-12-31,55.69,$22.95,2.43
2014-09-30,84.69,$19.90,4.26
2014-06-30,94.38,$2.20,42.9
2014-03-31,84.85,$5.30,16.01
2013-12-31,71.39,$1.55,46.06
2013-09-30,68.28,$2.70,25.29
2013-06-30,65.98,$-7.00,0.0
2013-03-31,74.94,$-22.00,0.0
2012-12-31,75.31,$-18.95,0.0
2012-09-30,82.74,$-20.05,0.0
2012-06-30,77.94,$-10.80,0.0
2012-03-31,72.8,$0.30,242.68
2011-12-31,67.97,$0.75,90.63
2011-09-30,69.71,$2.10,33.2
2011-06-30,110.78,$5.15,21.51
2011-03-31,123.45,$0.70,176.36
2010-12-31,103.43,$10.00,10.34
2010-09-30,106.63,$14.55,7.33
2010-06-30,106.29,$10.85,9.8
2010-03-31,108.07,$15.85,6.82
2009-12-31,112.14,$12.40,9.04
