Kimberly-Clark PE Ratio Historical Data,Kimberly-Clark PE Ratio Historical Data,Kimberly-Clark PE Ratio Historical Data,Kimberly-Clark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,139.08,,18.42
2024-12-31,131.04,$7.55,17.36
2024-09-30,141.0,$7.71,18.29
2024-06-30,135.83,$6.75,20.12
2024-03-31,127.13,$5.44,23.37
2023-12-31,118.28,$5.20,22.75
2023-09-30,116.51,$5.20,22.41
2023-06-30,131.88,$4.85,27.19
2023-03-31,127.09,$5.84,21.76
2022-12-31,127.32,$5.72,22.26
2022-09-30,104.66,$5.28,19.82
2022-06-30,124.54,$5.29,23.54
2022-03-31,112.47,$5.19,21.67
2021-12-31,129.35,$5.36,24.13
2021-09-30,118.87,$5.88,20.22
2021-06-30,119.08,$5.87,20.29
2021-03-31,122.7,$6.67,18.4
2020-12-31,117.93,$6.87,17.17
2020-09-30,128.15,$6.88,18.63
2020-06-30,121.82,$7.44,16.37
2020-03-31,109.35,$6.85,15.96
2019-12-31,116.76,$6.24,18.71
2019-09-30,119.68,$5.83,20.53
2019-06-30,111.47,$5.18,21.52
2019-03-31,102.83,$5.08,20.24
2018-12-31,93.72,$4.03,23.26
2018-09-30,92.66,$4.60,20.14
2018-06-30,85.16,$4.91,17.34
2018-03-31,88.16,$5.10,17.29
2017-12-31,95.74,$6.41,14.94
2017-09-30,92.62,$6.06,15.28
2017-06-30,100.8,$5.98,16.86
2017-03-31,102.01,$6.05,16.86
2016-12-31,87.8,$5.98,14.68
2016-09-30,96.27,$5.49,17.54
2016-06-30,104.17,$5.38,19.36
2016-03-31,101.2,$2.99,33.85
2015-12-31,95.11,$2.76,34.46
2015-09-30,80.87,$1.63,49.62
2015-06-30,77.94,$1.72,45.32
2015-03-31,78.14,$3.90,20.04
2014-12-31,83.62,$4.04,20.7
2014-09-30,74.11,$5.66,13.09
2014-06-30,76.03,$5.58,13.62
2014-03-31,74.8,$5.59,13.38
2013-12-31,70.33,$5.54,12.69
2013-09-30,62.94,$4.82,13.06
2013-06-30,64.33,$4.70,13.69
2013-03-31,64.34,$4.60,13.99
2012-12-31,54.97,$4.42,12.44
2012-09-30,55.37,$4.75,11.66
2012-06-30,53.59,$4.54,11.8
2012-03-31,46.84,$4.31,10.87
2011-12-31,46.15,$3.99,11.57
2011-09-30,44.12,$4.18,10.55
2011-06-30,40.93,$4.23,9.68
2011-03-31,39.71,$4.40,9.03
2010-12-31,37.95,$4.46,8.51
2010-09-30,38.74,$4.43,8.75
2010-06-30,35.75,$4.69,7.62
2010-03-31,36.68,$4.46,8.23
2009-12-31,36.76,$4.52,8.13
