Barnwell Industries PE Ratio Historical Data,Barnwell Industries PE Ratio Historical Data,Barnwell Industries PE Ratio Historical Data,Barnwell Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.73,,0.0
2024-12-31,1.51,$-0.68,0.0
2024-09-30,2.26,$-0.56,0.0
2024-06-30,2.35,$-0.38,0.0
2024-03-31,2.36,$-0.33,0.0
2023-12-31,2.43,$-0.27,0.0
2023-09-30,2.64,$-0.09,0.0
2023-06-30,2.53,$-0.09,0.0
2023-03-31,2.17,$0.23,9.45
2022-12-31,2.9,$0.56,5.18
2022-09-30,2.58,$0.56,4.61
2022-06-30,2.28,$0.73,3.13
2022-03-31,2.5,$1.07,2.34
2021-12-31,2.83,$0.76,3.72
2021-09-30,2.95,$0.72,4.09
2021-06-30,3.22,$0.64,5.03
2021-03-31,2.5,$-0.37,0.0
2020-12-31,1.23,$-0.45,0.0
2020-09-30,0.83,$-0.57,0.0
2020-06-30,0.87,$-1.17,0.0
2020-03-31,0.6,$-0.91,0.0
2019-12-31,1.0,$-0.99,0.0
2019-09-30,0.51,$-1.50,0.0
2019-06-30,1.1,$-1.11,0.0
2019-03-31,1.44,$-1.00,0.0
2018-12-31,1.29,$-0.66,0.0
2018-09-30,1.73,$-0.22,0.0
2018-06-30,2.04,$-0.01,0.0
2018-03-31,1.82,$-0.02,0.0
2017-12-31,2.02,$-0.17,0.0
2017-09-30,1.75,$0.15,11.67
2017-06-30,1.76,$-0.10,0.0
2017-03-31,1.87,$0.05,37.34
2016-12-31,1.59,$-0.07,0.0
2016-09-30,1.6,$-0.44,0.0
2016-06-30,1.51,$0.07,21.53
2016-03-31,1.65,$0.10,16.54
2015-12-31,1.83,$0.05,36.56
2015-09-30,1.81,$0.16,11.3
2015-06-30,2.3,$0.08,28.81
2015-03-31,2.31,$-0.07,0.0
2014-12-31,2.6,$0.14,18.54
2014-09-30,2.54,$0.08,31.79
2014-06-30,3.05,$-0.38,0.0
2014-03-31,2.93,$-0.50,0.0
2013-12-31,2.93,$-0.83,0.0
2013-09-30,3.35,$-1.04,0.0
2013-06-30,3.06,$-1.51,0.0
2013-03-31,3.26,$-1.53,0.0
2012-12-31,3.23,$-1.53,0.0
2012-09-30,3.13,$-1.23,0.0
2012-06-30,2.89,$-0.62,0.0
2012-03-31,3.21,$-0.35,0.0
2011-12-31,2.63,$-0.17,0.0
2011-09-30,3.4,$-0.01,0.0
2011-06-30,5.01,$0.06,83.46
2011-03-31,7.04,0,0.0
2010-12-31,3.52,$0.36,9.77
2010-09-30,3.13,$0.47,6.65
2010-06-30,2.79,$-0.09,0.0
2010-03-31,4.22,$-0.52,0.0
2009-12-31,4.46,$-2.76,0.0
