Sequans Communications S.A PE Ratio Historical Data,Sequans Communications S.A PE Ratio Historical Data,Sequans Communications S.A PE Ratio Historical Data,Sequans Communications S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.4,,2.32
2024-09-30,2.98,$1.04,2.87
2024-03-31,0.96,$-1.98,0.0
2023-12-31,7.08,$-1.75,0.0
2023-09-30,7.08,$-1.30,0.0
2023-06-30,5.58,$-1.05,0.0
2023-03-31,5.0,$-0.83,0.0
2022-12-31,8.3,$-0.48,0.0
2022-09-30,8.93,$-0.75,0.0
2022-06-30,6.73,$-0.58,0.0
2022-03-31,7.6,$-0.50,0.0
2021-12-31,11.85,$-1.43,0.0
2021-09-30,10.98,$-1.80,0.0
2021-06-30,15.05,$-2.58,0.0
2021-03-31,15.1,$-4.23,0.0
2020-12-31,15.1,$-4.50,0.0
2020-09-30,14.93,$-4.50,0.0
2020-06-30,15.35,$-4.65,0.0
2020-03-31,12.73,$-3.80,0.0
2019-12-31,7.5,$-3.70,0.0
2019-09-30,8.68,$-3.90,0.0
2019-06-30,8.9,$-4.00,0.0
2019-03-31,11.02,$-4.00,0.0
2018-12-31,7.8,$-4.00,0.0
2018-09-30,14.2,$-3.90,0.0
2018-06-30,20.4,$-3.80,0.0
2018-03-31,16.8,$-3.70,0.0
2017-12-31,19.1,$-3.40,0.0
2017-09-30,31.4,$-3.10,0.0
2017-06-30,33.1,$-3.00,0.0
2017-03-31,27.5,$-3.10,0.0
2016-12-31,18.7,$-4.00,0.0
2016-09-30,17.7,$-4.90,0.0
2016-06-30,20.5,$-4.50,0.0
2016-03-31,27.2,$-4.80,0.0
2015-12-31,21.0,$-4.60,0.0
2015-09-30,10.5,$-4.50,0.0
2015-06-30,17.1,$-5.50,0.0
2015-03-31,16.8,$-5.80,0.0
2014-12-31,11.9,$-5.80,0.0
2014-09-30,19.8,$-6.00,0.0
2014-06-30,17.2,$-6.60,0.0
2014-03-31,28.2,$-7.10,0.0
2013-12-31,20.0,$-8.10,0.0
2013-09-30,24.5,$-9.30,0.0
2013-06-30,15.1,$-9.00,0.0
2013-03-31,15.9,$-9.40,0.0
2012-12-31,23.4,$-9.60,0.0
2012-09-30,16.9,$-8.30,0.0
2012-06-30,22.3,$-5.70,0.0
2012-03-31,26.6,$-3.30,0.0
