Hycroft Mining Holding PE Ratio Historical Data,Hycroft Mining Holding PE Ratio Historical Data,Hycroft Mining Holding PE Ratio Historical Data,Hycroft Mining Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.23,,0.0
2024-12-31,2.21,$-2.66,0.0
2024-09-30,2.5,$-2.16,0.0
2024-06-30,2.4,$-2.37,0.0
2024-03-31,2.21,$-2.50,0.0
2023-12-31,2.45,$-2.20,0.0
2023-09-30,2.98,$-2.90,0.0
2023-06-30,2.95,$-2.90,0.0
2023-03-31,4.32,$-2.70,0.0
2022-12-31,5.32,$-4.70,0.0
2022-09-30,6.05,$-11.80,0.0
2022-06-30,11.1,$-14.90,0.0
2022-03-31,23.0,$-15.80,0.0
2021-12-31,6.14,$-14.70,0.0
2021-09-30,14.9,$-6.90,0.0
2021-06-30,30.6,$-8.80,0.0
2021-03-31,35.0,$-34.50,0.0
2020-12-31,78.5,$-38.80,0.0
2020-09-30,105.1,$-38.80,0.0
2020-06-30,94.5,$-33.00,0.0
2020-03-31,103.48,$-5.50,0.0
2019-12-31,103.33,$0.80,129.16
2019-09-30,102.81,$1.10,93.47
2019-06-30,101.8,$1.40,72.71
2019-03-31,100.8,$1.20,84.0
2018-12-31,98.8,$0.80,123.5
