Shyft PE Ratio Historical Data,Shyft PE Ratio Historical Data,Shyft PE Ratio Historical Data,Shyft PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.49,,0.0
2024-12-31,11.74,$-0.09,0.0
2024-09-30,12.51,$-0.12,0.0
2024-06-30,11.77,$-0.08,0.0
2024-03-31,12.28,$-0.01,0.0
2023-12-31,12.03,$0.18,66.84
2023-09-30,14.68,$0.81,18.12
2023-06-30,21.55,$1.17,18.42
2023-03-31,22.18,$1.19,18.64
2022-12-31,24.2,$1.03,23.49
2022-09-30,19.85,$1.09,18.21
2022-06-30,18.03,$1.18,15.28
2022-03-31,34.93,$1.47,23.77
2021-12-31,47.48,$1.90,24.99
2021-09-30,36.72,$1.55,23.69
2021-06-30,36.11,$1.49,24.24
2021-03-31,35.89,$1.01,35.53
2020-12-31,27.36,$0.91,30.06
2020-09-30,18.18,$-0.08,0.0
2020-06-30,16.2,$-0.31,0.0
2020-03-31,12.38,$-0.17,0.0
2019-12-31,17.33,$-0.35,0.0
2019-09-30,13.12,$0.48,27.33
2019-06-30,10.48,$0.34,30.82
2019-03-31,8.4,$0.35,23.99
2018-12-31,6.87,$0.43,15.99
2018-09-30,13.94,$0.45,30.97
2018-06-30,14.27,$0.68,20.98
2018-03-31,16.2,$0.60,27.0
2017-12-31,14.84,$0.45,32.97
2017-09-30,10.37,$0.41,25.3
2017-06-30,8.31,$0.11,75.52
2017-03-31,7.47,$0.21,35.57
2016-12-31,8.64,$0.26,33.21
2016-09-30,8.89,$-0.05,0.0
2016-06-30,5.81,$-0.30,0.0
2016-03-31,3.63,$-0.40,0.0
2015-12-31,2.86,$-0.51,0.0
2015-09-30,3.75,$-0.23,0.0
2015-06-30,4.16,$0.03,138.8
2015-03-31,4.36,$0.01,0.0
2014-12-31,4.73,$0.04,118.23
2014-09-30,4.16,$-0.05,0.0
2014-06-30,4.05,$-0.12,0.0
2014-03-31,4.54,$-0.11,0.0
2013-12-31,5.91,$-0.18,0.0
2013-09-30,5.31,$-0.16,0.0
2013-06-30,5.36,$-0.19,0.0
2013-03-31,4.61,$-0.14,0.0
2012-12-31,4.27,$-0.07,0.0
2012-09-30,4.3,$0.02,214.85
2012-06-30,4.5,$0.13,34.64
2012-03-31,4.5,$-0.01,0.0
2011-12-31,4.09,$0.02,204.5
2011-09-30,3.48,$0.10,34.77
2011-06-30,4.55,$0.10,45.46
2011-03-31,5.73,$0.09,63.65
2010-12-31,5.09,$0.12,42.38
2010-09-30,3.84,$0.01,383.95
2010-06-30,3.48,$-0.07,0.0
2010-03-31,4.59,$0.17,27.01
2009-12-31,4.62,$0.36,12.82
