Quanex Building Products PE Ratio Historical Data,Quanex Building Products PE Ratio Historical Data,Quanex Building Products PE Ratio Historical Data,Quanex Building Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.17,,21.69
2025-01-31,21.0,$0.93,22.58
2024-10-31,28.98,$1.12,25.87
2024-07-31,33.21,$2.25,14.76
2024-04-30,32.94,$2.44,13.5
2024-01-31,30.88,$2.63,11.74
2023-10-31,26.49,$2.50,10.6
2023-07-31,27.69,$2.42,11.44
2023-04-30,18.74,$2.24,8.36
2023-01-31,25.29,$2.39,10.58
2022-10-31,21.58,$2.67,8.08
2022-07-31,23.87,$2.54,9.4
2022-04-30,18.57,$2.17,8.56
2022-01-31,20.98,$1.80,11.66
2021-10-31,19.88,$1.70,11.7
2021-07-31,23.75,$1.76,13.5
2021-04-30,26.01,$1.68,15.49
2021-01-31,20.9,$1.42,14.72
2020-10-31,17.24,$1.18,14.61
2020-07-31,13.25,$-0.44,0.0
2020-04-30,11.68,$-0.41,0.0
2020-01-31,16.47,$-1.31,0.0
2019-10-31,17.86,$-1.42,0.0
2019-07-31,17.17,$-0.29,0.0
2019-04-30,15.35,$-0.34,0.0
2019-01-31,14.29,$0.51,28.02
2018-10-31,13.45,$0.76,17.7
2018-07-31,16.0,$0.88,18.18
2018-04-30,15.47,$0.86,17.99
2018-01-31,18.63,$0.78,23.89
2017-10-31,19.72,$0.53,37.21
2017-07-31,19.28,$0.38,50.74
2017-04-30,18.26,$-0.03,0.0
2017-01-31,17.64,$0.04,441.11
2016-10-31,14.53,$-0.06,0.0
2016-07-31,17.78,$0.07,254.04
2016-04-30,16.73,$0.39,42.89
2016-01-31,16.39,$0.35,46.84
2015-10-31,16.68,$0.47,35.48
2015-07-31,17.71,$0.31,57.13
2015-04-30,16.99,$0.32,53.08
2015-01-31,16.54,$0.78,21.2
2014-10-31,17.55,$0.76,23.09
2014-07-31,14.95,$0.60,24.91
2014-04-30,16.44,$0.52,31.62
2014-01-31,16.5,$-0.21,0.0
2013-10-31,15.45,$-0.32,0.0
2013-07-31,14.76,$-0.26,0.0
2013-04-30,14.08,$-0.35,0.0
2013-01-31,17.83,$-0.49,0.0
2012-10-31,17.03,$-0.45,0.0
2012-07-31,14.53,$-0.31,0.0
2012-04-30,15.81,$-0.11,0.0
2012-01-31,14.06,$0.19,73.99
2011-10-31,12.55,$0.24,52.29
2011-07-31,13.28,$0.29,45.81
2011-04-30,17.73,$0.32,55.4
2011-01-31,16.45,$0.47,35.0
2010-10-31,15.18,$0.61,24.88
2010-07-31,14.78,$0.80,18.47
2010-04-30,15.93,$0.75,21.24
2010-01-31,13.46,$-0.44,0.0
2009-10-31,12.43,$-3.68,0.0
