Walmart PE Ratio Historical Data,Walmart PE Ratio Historical Data,Walmart PE Ratio Historical Data,Walmart PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,85.81,,35.61
2025-01-31,98.16,$2.41,40.73
2024-10-31,81.77,$2.44,33.56
2024-07-31,68.3,$1.92,35.51
2024-04-30,58.85,$2.34,25.19
2024-01-31,54.43,$1.91,28.45
2023-10-31,53.63,$2.01,26.68
2023-07-31,52.28,$1.73,30.16
2023-04-30,49.18,$1.39,35.47
2023-01-31,46.68,$1.43,32.72
2022-10-31,46.01,$1.08,42.59
2022-07-31,42.5,$1.67,25.45
2022-04-30,49.06,$1.55,31.65
2022-01-31,44.66,$1.63,27.45
2021-10-31,47.54,$0.95,49.87
2021-07-31,45.19,$1.18,38.19
2021-04-30,44.18,$1.43,30.82
2021-01-31,44.18,$1.58,28.02
2020-10-31,43.47,$2.31,18.84
2020-07-31,40.37,$2.09,19.32
2020-04-30,37.76,$1.75,21.54
2020-01-31,35.4,$1.73,20.47
2019-10-31,36.1,$1.67,21.62
2019-07-31,33.82,$1.48,22.85
2019-04-30,31.34,$0.96,32.54
2019-01-31,29.05,$0.76,38.22
2018-10-31,30.23,$0.58,52.13
2018-07-31,26.74,$0.58,46.12
2018-04-30,26.35,$1.00,26.44
2018-01-31,31.56,$1.09,28.96
2017-10-31,25.72,$1.25,20.52
2017-07-31,23.41,$1.39,16.88
2017-04-30,21.86,$1.47,14.87
2017-01-31,19.26,$1.46,13.16
2016-10-31,20.07,$1.53,13.09
2016-07-31,20.77,$1.55,13.4
2016-04-30,18.9,$1.51,12.54
2016-01-31,18.61,$1.52,12.22
2015-10-31,15.92,$1.56,10.23
2015-07-31,19.89,$1.60,12.46
2015-04-30,21.43,$1.66,12.94
2015-01-31,23.19,$1.68,13.78
2014-10-31,20.7,$1.63,12.73
2014-07-31,19.84,$1.62,12.22
2014-04-30,21.36,$1.62,13.21
2014-01-31,19.89,$1.63,12.23
2013-10-31,20.32,$1.73,11.74
2013-07-31,20.51,$1.71,11.99
2013-04-30,20.33,$1.69,12.03
2013-01-31,18.18,$1.67,10.86
2012-10-31,19.39,$1.62,11.99
2012-07-31,19.13,$1.58,12.14
2012-04-30,15.04,$1.55,9.73
2012-01-31,15.57,$1.51,10.33
2011-10-31,14.3,$1.57,9.09
2011-07-31,13.19,$1.57,8.4
2011-04-30,13.67,$1.53,8.93
2011-01-31,13.84,$1.50,9.23
2010-10-31,13.3,$1.34,9.95
2010-07-31,12.49,$1.30,9.61
2010-04-30,13.02,$1.27,10.25
2010-01-31,12.89,$1.23,10.45
2009-10-31,11.93,$1.15,10.37
