Globe Life PE Ratio Historical Data,Globe Life PE Ratio Historical Data,Globe Life PE Ratio Historical Data,Globe Life PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,128.6,,10.76
2024-12-31,111.52,$11.95,9.33
2024-09-30,105.67,$11.82,8.94
2024-06-30,81.85,$11.06,7.4
2024-03-31,115.52,$10.47,11.03
2023-12-31,120.6,$10.08,11.96
2023-09-30,107.51,$9.34,11.51
2023-06-30,108.17,$8.56,12.64
2023-03-31,108.57,$8.11,13.39
2022-12-31,118.51,$7.47,15.86
2022-09-30,97.82,$7.09,13.8
2022-06-30,95.44,$7.03,13.58
2022-03-31,98.3,$7.16,13.73
2021-12-31,91.39,$7.22,12.66
2021-09-30,86.63,$7.39,11.72
2021-06-30,92.5,$7.31,12.65
2021-03-31,93.65,$7.01,13.36
2020-12-31,91.85,$6.83,13.45
2020-09-30,77.11,$6.59,11.7
2020-06-30,71.45,$6.65,10.74
2020-03-31,69.08,$6.70,10.31
2019-12-31,100.86,$6.83,14.77
2019-09-30,91.6,$6.59,13.9
2019-06-30,85.41,$6.32,13.51
2019-03-31,78.08,$6.24,12.51
2018-12-31,70.86,$6.08,11.65
2018-09-30,82.27,$13.34,6.17
2018-06-30,77.11,$13.08,5.9
2018-03-31,79.57,$12.67,6.28
2017-12-31,85.61,$12.29,6.97
2017-09-30,75.45,$4.70,16.05
2017-06-30,72.06,$4.66,15.46
2017-03-31,72.43,$4.61,15.71
2016-12-31,69.08,$4.51,15.32
2016-09-30,59.71,$4.46,13.39
2016-06-30,57.78,$4.36,13.25
2016-03-31,50.5,$4.23,11.94
2015-12-31,53.03,$4.17,12.72
2015-09-30,52.33,$4.23,12.37
2015-06-30,53.89,$4.08,13.21
2015-03-31,50.71,$4.06,12.49
2014-12-31,49.9,$4.10,12.18
2014-09-30,48.01,$4.01,11.98
2014-06-30,50.07,$3.96,12.64
2014-03-31,31.94,$3.94,8.11
2013-12-31,31.72,$3.80,8.35
2013-09-30,29.23,$3.81,7.67
2013-06-30,26.25,$3.77,6.97
2013-03-31,24.03,$3.69,6.52
2012-12-31,20.7,$3.62,5.72
2012-09-30,20.51,$3.40,6.04
2012-06-30,20.13,$3.36,6.0
2012-03-31,19.8,$3.37,5.88
2011-12-31,17.18,$3.18,5.41
2011-09-30,13.76,$3.20,4.3
2011-06-30,16.88,$2.96,5.7
2011-03-31,17.45,$2.75,6.35
2010-12-31,15.6,$2.81,5.55
2010-09-30,13.88,$2.56,5.42
2010-06-30,12.89,$2.47,5.22
2010-03-31,13.89,$2.40,5.78
2009-12-31,11.34,$2.16,5.25
