Ceva PE Ratio Historical Data,Ceva PE Ratio Historical Data,Ceva PE Ratio Historical Data,Ceva PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.19,,0.0
2024-12-31,31.55,$-0.37,0.0
2024-09-30,24.15,$-0.14,0.0
2024-06-30,19.29,$-0.29,0.0
2024-03-31,22.71,$-0.53,0.0
2023-12-31,22.71,$-0.51,0.0
2023-09-30,19.39,$-0.59,0.0
2023-06-30,25.55,$-1.34,0.0
2023-03-31,30.43,$-1.14,0.0
2022-12-31,25.58,$-1.00,0.0
2022-09-30,26.23,$-0.91,0.0
2022-06-30,33.56,$0.04,839.0
2022-03-31,40.65,$0.10,406.5
2021-12-31,43.24,$0.01,4324.0
2021-09-30,42.67,$-0.13,0.0
2021-06-30,47.3,$-0.15,0.0
2021-03-31,56.15,$-0.21,0.0
2020-12-31,45.5,$-0.10,0.0
2020-09-30,39.37,$0.01,3937.0
2020-06-30,37.42,$0.07,534.57
2020-03-31,24.93,$0.05,498.6
2019-12-31,26.96,0,0.0
2019-09-30,29.86,$-0.04,0.0
2019-06-30,24.35,$0.04,608.75
2019-03-31,26.96,$0.02,1348.0
2018-12-31,22.09,$0.02,1104.5
2018-09-30,28.75,$0.06,479.17
2018-06-30,30.2,$0.21,143.81
2018-03-31,36.2,$0.47,77.02
2017-12-31,46.15,$0.76,60.72
2017-09-30,42.8,$0.86,49.77
2017-06-30,45.45,$0.75,60.6
2017-03-31,35.5,$0.71,50.0
2016-12-31,33.55,$0.61,55.0
2016-09-30,35.07,$0.48,73.06
2016-06-30,27.17,$0.49,55.45
2016-03-31,22.5,$0.37,60.81
2015-12-31,23.36,$0.30,77.87
2015-09-30,18.57,$0.09,206.33
2015-06-30,19.43,$-0.04,0.0
2015-03-31,21.32,$-0.12,0.0
2014-12-31,18.14,$-0.05,0.0
2014-09-30,13.44,$0.19,70.74
2014-06-30,14.77,$0.15,98.47
2014-03-31,17.56,$0.32,54.88
2013-12-31,15.22,$0.31,49.1
2013-09-30,17.25,$0.29,59.48
2013-06-30,19.36,$0.41,47.22
2013-03-31,15.6,$0.46,33.91
2012-12-31,15.75,$0.58,27.16
2012-09-30,14.38,$0.66,21.79
2012-06-30,17.61,$0.75,23.48
2012-03-31,22.71,$0.77,29.49
2011-12-31,30.26,$0.76,39.82
2011-09-30,24.31,$0.74,32.85
2011-06-30,30.46,$0.67,45.46
2011-03-31,26.73,$0.60,44.55
2010-12-31,20.5,$0.50,41.0
2010-09-30,14.3,$0.46,31.09
2010-06-30,12.6,$0.42,30.0
2010-03-31,11.66,$0.44,26.5
2009-12-31,12.86,$0.42,30.62
