DallasNews PE Ratio Historical Data,DallasNews PE Ratio Historical Data,DallasNews PE Ratio Historical Data,DallasNews PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.67,,0.0
2024-12-31,7.43,$-0.71,0.0
2024-09-30,4.19,$-1.12,0.0
2024-06-30,3.59,$-0.65,0.0
2024-03-31,3.82,$-1.08,0.0
2023-12-31,4.25,$-1.32,0.0
2023-09-30,4.43,$-1.31,0.0
2023-06-30,3.74,$-1.53,0.0
2023-03-31,4.25,$-1.82,0.0
2022-12-31,3.59,$-1.82,0.0
2022-09-30,4.31,$-1.02,0.0
2022-06-30,5.75,$-0.24,0.0
2022-03-31,6.21,$-0.07,0.0
2021-12-31,6.26,$-0.10,0.0
2021-09-30,5.77,$-0.82,0.0
2021-06-30,6.11,$-1.12,0.0
2021-03-31,1.73,$-1.48,0.0
2020-12-31,1.25,$-1.28,0.0
2020-09-30,1.14,$-1.16,0.0
2020-06-30,1.37,$-1.16,0.0
2020-03-31,1.36,$2.60,0.52
2019-12-31,2.17,$2.36,0.92
2019-09-30,2.88,$2.60,1.11
2019-06-30,2.84,$2.40,1.18
2019-03-31,2.8,$-0.84,0.0
2018-12-31,2.49,$-1.04,0.0
2018-09-30,3.4,$1.24,2.74
2018-06-30,3.47,$1.92,1.81
2018-03-31,3.8,$1.88,2.02
2017-12-31,3.49,$1.80,1.94
2017-09-30,3.29,$-4.00,0.0
2017-06-30,3.87,$-4.56,0.0
2017-03-31,4.33,$-4.28,0.0
2016-12-31,4.47,$-3.56,0.0
2016-09-30,5.1,$-2.64,0.0
2016-06-30,3.47,$-1.84,0.0
2016-03-31,3.34,$-2.08,0.0
2015-12-31,3.42,$-1.88,0.0
2015-09-30,3.32,$10.68,0.31
2015-06-30,3.71,$13.32,0.28
2015-03-31,5.46,$17.24,0.32
2014-12-31,6.82,$16.40,0.42
2014-09-30,5.8,$9.48,0.61
2014-06-30,6.44,$7.04,0.91
2014-03-31,5.55,$3.44,1.61
2013-12-31,3.55,$2.72,1.3
2013-09-30,3.69,$0.08,46.1
2013-06-30,3.19,$-0.60,0.0
2013-03-31,2.69,$-0.76,0.0
2012-12-31,2.12,$0.00,0.0
2012-09-30,2.06,$0.04,51.6
2012-06-30,1.69,$-0.24,0.0
2012-03-31,2.03,$-1.56,0.0
2011-12-31,1.95,$-2.08,0.0
2011-09-30,1.71,$-25.16,0.0
2011-06-30,2.99,$-24.32,0.0
2011-03-31,3.33,$-23.08,0.0
2010-12-31,3.42,$-23.60,0.0
2010-09-30,2.75,$0.08,34.35
2010-06-30,2.58,$-1.84,0.0
2010-03-31,2.8,$-3.16,0.0
2009-12-31,2.24,$-21.52,0.0
