Aptevo Therapeutics PE Ratio Historical Data,Aptevo Therapeutics PE Ratio Historical Data,Aptevo Therapeutics PE Ratio Historical Data,Aptevo Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.47,,0.0
2024-12-31,4.31,$-438.41,0.0
2024-09-30,6.65,$-438.41,0.0
2024-06-30,11.32,"$-1,219.07",0.0
2024-03-31,173.53,"$-3,121.79",0.0
2023-12-31,294.67,"$-2,138.80",0.0
2023-09-30,537.24,"$-2,138.80",0.0
2023-06-30,2376.88,"$-3,734.92",0.0
2023-03-31,3312.98,"$7,134.65",0.46
2022-12-31,3776.96,"$4,038.18",0.94
2022-09-30,4949.12,"$4,038.18",1.23
2022-06-30,5828.24,"$4,149.91",1.4
2022-03-31,9556.36,"$-7,549.64",0.0
2021-12-31,12812.36,"$-7,693.29",0.0
2021-09-30,25136.32,"$-7,693.29",0.0
2021-06-30,36516.04,"$-8,762.69",0.0
2021-03-31,49686.56,"$-9,321.33",0.0
2020-12-31,59666.2,"$-5,283.15",0.0
2020-09-30,12372.8,"$-5,283.15",0.0
2020-06-30,13593.8,"$-5,508.04",0.0
2020-03-31,6023.6,"$-8,862.57",0.0
2019-12-31,14917.36,"$-20,119.14",0.0
2019-09-30,13410.81,"$-20,119.14",0.0
2019-06-30,20205.11,"$-29,060.97",0.0
2019-03-31,20512.8,"$-35,320.26",0.0
2018-12-31,28945.84,"$-39,567.64",0.0
2018-09-30,115783.35,"$-39,567.64",0.0
2018-06-30,113732.07,"$12,071.48",9.42
2018-03-31,74529.83,"$13,189.22",5.65
2017-12-31,96638.07,"$16,542.41",5.84
2017-09-30,52193.67,$0.01,5219367.49
2017-06-30,47179.44,"$-118,479.35",0.0
