ImmuCell PE Ratio Historical Data,ImmuCell PE Ratio Historical Data,ImmuCell PE Ratio Historical Data,ImmuCell PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.93,,0.0
2024-09-30,3.63,$-0.50,0.0
2024-06-30,4.85,$-0.53,0.0
2024-03-31,5.3,$-0.51,0.0
2023-12-31,5.09,$-0.75,0.0
2023-09-30,5.34,$-0.82,0.0
2023-06-30,5.0,$-0.78,0.0
2023-03-31,5.16,$-0.69,0.0
2022-12-31,6.1,$-0.30,0.0
2022-09-30,7.48,$-0.07,0.0
2022-06-30,8.69,$0.03,289.67
2022-03-31,9.65,$0.14,68.93
2021-12-31,8.0,$-0.01,0.0
2021-09-30,9.36,$0.01,935.99
2021-06-30,9.5,$-0.05,0.0
2021-03-31,9.64,$-0.18,0.0
2020-12-31,5.95,$-0.14,0.0
2020-09-30,5.43,$-0.23,0.0
2020-06-30,4.73,$-0.26,0.0
2020-03-31,3.79,$-0.24,0.0
2019-12-31,5.15,$-0.19,0.0
2019-09-30,5.57,$-0.32,0.0
2019-06-30,6.5,$-0.30,0.0
2019-03-31,6.35,$-0.36,0.0
2018-12-31,7.05,$-0.43,0.0
2018-09-30,8.33,$-0.28,0.0
2018-06-30,6.82,$-0.30,0.0
2018-03-31,7.0,$-0.20,0.0
2017-12-31,8.79,$-0.04,0.0
2017-09-30,6.5,$0.01,0.0
2017-06-30,7.33,$0.09,81.44
2017-03-31,5.53,$0.14,39.5
2016-12-31,5.95,$0.13,45.77
2016-09-30,7.73,$0.21,36.81
2016-06-30,6.9,$0.31,22.26
2016-03-31,6.85,$0.34,20.15
2015-12-31,7.54,$0.38,19.84
2015-09-30,5.95,$0.33,18.03
2015-06-30,7.85,$0.22,35.68
2015-03-31,6.29,$0.09,69.86
2014-12-31,4.86,$-0.06,0.0
2014-09-30,4.97,$-0.15,0.0
2014-06-30,4.4,$-0.13,0.0
2014-03-31,4.8,$-0.03,0.0
2013-12-31,4.27,$0.04,106.73
2013-09-30,4.73,$0.08,59.13
2013-06-30,3.76,$0.04,94.0
2013-03-31,3.68,$0.04,92.0
2012-12-31,4.0,$0.02,200.01
2012-09-30,5.11,$0.03,170.33
2012-06-30,5.85,$0.01,585.0
2012-03-31,5.42,$-0.08,0.0
2011-12-31,4.65,$-0.12,0.0
2011-09-30,5.3,$-0.08,0.0
2011-06-30,7.9,$-0.11,0.0
2011-03-31,3.43,$-0.02,0.0
2010-12-31,3.2,$-0.05,0.0
2010-09-30,3.2,$-0.10,0.0
2010-06-30,3.37,$-0.04,0.0
2010-03-31,3.51,$-0.09,0.0
2009-12-31,3.71,$-0.08,0.0
