Greenwich LifeSciences PE Ratio Historical Data,Greenwich LifeSciences PE Ratio Historical Data,Greenwich LifeSciences PE Ratio Historical Data,Greenwich LifeSciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.34,,0.0
2024-09-30,14.37,$-0.80,0.0
2024-06-30,17.26,$-0.79,0.0
2024-03-31,19.94,$-0.72,0.0
2023-12-31,10.52,$-0.70,0.0
2023-09-30,8.84,$-0.71,0.0
2023-06-30,9.65,$-0.70,0.0
2023-03-31,13.79,$-0.63,0.0
2022-12-31,15.2,$-0.61,0.0
2022-09-30,9.1,$-0.57,0.0
2022-06-30,8.47,$-0.46,0.0
2022-03-31,19.62,$-0.46,0.0
2021-12-31,24.33,$-0.36,0.0
2021-09-30,39.07,$-0.18,0.0
2021-06-30,44.94,$-0.11,0.0
