SS&C Technologies Holdings PE Ratio Historical Data,SS&C Technologies Holdings PE Ratio Historical Data,SS&C Technologies Holdings PE Ratio Historical Data,SS&C Technologies Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,82.34,,27.45
2024-12-31,75.78,$3.00,25.26
2024-09-30,73.97,$2.79,26.51
2024-06-30,62.26,$2.75,22.64
2024-03-31,63.7,$2.51,25.38
2023-12-31,60.25,$2.38,25.31
2023-09-30,51.58,$2.42,21.31
2023-06-30,59.24,$2.42,24.48
2023-03-31,55.0,$2.33,23.61
2022-12-31,50.54,$2.48,20.38
2022-09-30,46.18,$2.61,17.69
2022-06-30,55.96,$2.69,20.8
2022-03-31,72.07,$2.98,24.18
2021-12-31,78.55,$2.99,26.27
2021-09-30,66.32,$2.79,23.77
2021-06-30,68.72,$2.70,25.45
2021-03-31,66.48,$2.63,25.28
2020-12-31,69.06,$2.35,29.39
2020-09-30,57.33,$2.15,26.67
2020-06-30,53.39,$1.91,27.95
2020-03-31,41.33,$1.72,24.03
2019-12-31,57.78,$1.66,34.81
2019-09-30,48.43,$1.35,35.87
2019-06-30,53.99,$1.22,44.25
2019-03-31,59.58,$0.50,119.16
2018-12-31,42.13,$0.43,97.97
2018-09-30,53.07,$0.97,54.72
2018-06-30,48.4,$1.04,46.54
2018-03-31,49.96,$1.55,32.23
2017-12-31,37.65,$1.54,24.45
2017-09-30,37.28,$1.05,35.5
2017-06-30,35.6,$0.94,37.87
2017-03-31,32.75,$0.84,38.99
2016-12-31,26.42,$0.65,40.95
2016-09-30,29.63,$0.43,69.72
2016-06-30,25.83,$0.06,469.68
2016-03-31,29.11,$0.14,215.65
2015-12-31,31.28,$0.25,125.1
2015-09-30,32.03,$0.40,80.08
2015-06-30,28.53,$0.82,34.79
2015-03-31,28.38,$0.76,37.59
2014-12-31,26.59,$0.76,35.22
2014-09-30,19.9,$0.70,28.44
2014-06-30,20.05,$0.72,28.05
2014-03-31,18.15,$0.72,25.38
2013-12-31,20.07,$0.70,28.88
2013-09-30,17.28,$0.64,27.21
2013-06-30,14.92,$0.49,30.76
2013-03-31,13.6,$0.30,46.09
2012-12-31,10.47,$0.28,38.08
2012-09-30,11.43,$0.26,43.97
2012-06-30,11.34,$0.25,46.28
2012-03-31,10.58,$0.36,29.39
2011-12-31,8.19,$0.31,26.42
2011-09-30,6.48,$0.29,22.35
2011-06-30,9.01,$0.27,34.01
2011-03-31,9.26,$0.22,43.07
2010-12-31,9.3,$0.23,41.34
