Lument Finance Trust PE Ratio Historical Data,Lument Finance Trust PE Ratio Historical Data,Lument Finance Trust PE Ratio Historical Data,Lument Finance Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.82,,10.07
2024-12-31,2.58,$0.28,9.21
2024-09-30,2.53,$0.36,7.03
2024-06-30,2.33,$0.36,6.46
2024-03-31,2.34,$0.32,7.3
2023-12-31,2.13,$0.30,7.09
2023-09-30,1.84,$0.24,7.68
2023-06-30,1.63,$0.15,10.86
2023-03-31,1.68,$0.16,10.49
2022-12-31,1.53,$0.12,12.77
2022-09-30,1.69,$0.20,8.44
2022-06-30,1.81,$0.24,7.54
2022-03-31,2.03,$0.24,8.47
2021-12-31,2.79,$0.30,9.3
2021-09-30,2.81,$0.30,9.38
2021-06-30,2.92,$0.35,8.36
2021-03-31,2.4,$0.39,6.16
2020-12-31,2.17,$0.34,6.38
2020-09-30,1.74,$0.29,6.01
2020-06-30,1.64,$0.28,5.86
2020-03-31,1.11,$0.26,4.29
2019-12-31,1.87,$0.11,16.96
2019-09-30,1.9,$0.04,47.42
2019-06-30,1.88,$0.10,18.82
2019-03-31,1.88,$-0.90,0.0
2018-12-31,1.51,$-0.36,0.0
2018-09-30,1.94,$0.02,97.18
2018-06-30,1.74,$-0.36,0.0
2018-03-31,1.46,$0.41,3.55
2017-12-31,1.94,$0.04,48.56
2017-09-30,2.09,$0.40,5.23
2017-06-30,2.21,$0.67,3.3
2017-03-31,2.26,$0.50,4.52
2016-12-31,2.13,$-0.80,0.0
2016-09-30,1.87,$-1.34,0.0
2016-06-30,1.75,$-1.53,0.0
2016-03-31,1.73,$-0.98,0.0
2015-12-31,1.62,$-0.17,0.0
2015-09-30,1.79,$-0.66,0.0
2015-06-30,2.27,$-0.23,0.0
2015-03-31,2.79,$-0.10,0.0
2014-12-31,2.73,$-0.03,0.0
2014-09-30,2.57,$1.73,1.48
2014-06-30,2.67,$-0.86,0.0
2014-03-31,2.55,$-0.12,0.0
2013-12-31,2.31,$0.89,2.6
